,Tag,FIPS,YYYY,DrugReports
71,0.0,21025,2010,13
72,0.0,21025,2011,6
73,0.0,21025,2012,13
74,0.0,21025,2013,14
75,0.0,21025,2014,2
76,0.0,21025,2015,5
77,0.0,21025,2016,1
78,0.0,21025,2017,3
79,0.0,21027,2011,1
80,0.0,21027,2012,1
81,0.0,21027,2017,1
82,0.0,21029,2010,9
83,0.0,21029,2011,12
84,0.0,21029,2012,1
85,0.0,21029,2013,5
86,0.0,21029,2014,4
87,0.0,21029,2015,5
88,0.0,21029,2016,12
89,0.0,21029,2017,31
90,0.0,21031,2010,1
91,0.0,21031,2014,1
92,0.0,21031,2016,4
93,0.0,21033,2011,1
94,0.0,21033,2014,1
95,0.0,21033,2016,1
96,0.0,21033,2017,1
97,0.0,21035,2011,1
98,0.0,21035,2013,1
99,0.0,21035,2015,1
100,0.0,21035,2016,1
101,0.0,21035,2017,5
102,0.0,21037,2010,27
103,0.0,21037,2011,22
104,0.0,21037,2012,14
105,0.0,21037,2013,11
106,0.0,21037,2014,61
107,0.0,21037,2015,92
108,0.0,21037,2016,114
109,0.0,21037,2017,226
110,0.0,21039,2010,2
111,0.0,21041,2010,3
112,0.0,21041,2011,3
113,0.0,21041,2012,2
114,0.0,21041,2014,6
115,0.0,21041,2015,9
116,0.0,21041,2016,8
117,0.0,21041,2017,19
118,0.0,21043,2010,3
119,0.0,21043,2011,2
120,0.0,21043,2012,3
121,0.0,21043,2013,2
122,0.0,21043,2014,4
123,0.0,21043,2015,5
124,0.0,21043,2016,9
125,0.0,21043,2017,32
126,0.0,21045,2010,3
127,0.0,21045,2011,3
128,0.0,21045,2012,2
129,0.0,21045,2013,4
130,0.0,21045,2015,1
131,0.0,21045,2016,1
132,0.0,21047,2010,1
133,0.0,21047,2014,1
134,0.0,21047,2016,8
135,0.0,21049,2010,8
136,0.0,21049,2011,2
137,0.0,21049,2012,2
138,0.0,21049,2013,1
139,0.0,21049,2014,3
140,0.0,21049,2015,9
141,0.0,21049,2016,11
142,0.0,21049,2017,20
143,0.0,21051,2010,5
144,0.0,21051,2011,7
145,0.0,21051,2013,4
146,0.0,21051,2014,6
147,0.0,21051,2015,5
148,0.0,21051,2016,1
149,0.0,21053,2012,2
150,0.0,21053,2013,1
151,0.0,21053,2014,4
152,0.0,21053,2015,2
153,0.0,21053,2017,1
154,0.0,21055,2010,2
155,0.0,21055,2015,1
156,0.0,21057,2014,1
157,0.0,21057,2015,2
158,0.0,21057,2016,4
159,0.0,21059,2010,1
160,0.0,21059,2011,3
161,0.0,21059,2013,1
162,0.0,21059,2014,3
163,0.0,21059,2015,2
164,0.0,21059,2016,5
165,0.0,21059,2017,3
166,0.0,21061,2010,1
167,0.0,21061,2011,2
168,0.0,21061,2013,2
169,0.0,21061,2014,1
170,0.0,21061,2015,1
171,0.0,21061,2016,3
172,0.0,21063,2012,2
173,0.0,21063,2017,2
174,0.0,21065,2011,1
175,0.0,21065,2012,1
176,0.0,21065,2014,3
177,0.0,21065,2016,5
178,0.0,21065,2017,12
179,0.0,21067,2010,39
180,0.0,21067,2011,33
181,0.0,21067,2012,27
182,0.0,21067,2013,26
183,0.0,21067,2014,46
184,0.0,21067,2015,101
185,0.0,21067,2016,177
186,0.0,21067,2017,470
187,0.0,21069,2010,3
188,0.0,21069,2011,2
189,0.0,21069,2012,9
190,0.0,21069,2013,1
191,0.0,21069,2015,5
192,0.0,21069,2017,3
193,0.0,21071,2010,9
194,0.0,21071,2011,7
195,0.0,21071,2012,10
196,0.0,21071,2013,15
197,0.0,21071,2014,23
198,0.0,21071,2015,16
199,0.0,21071,2016,19
200,0.0,21071,2017,8
201,0.0,21073,2010,6
202,0.0,21073,2011,6
203,0.0,21073,2012,4
204,0.0,21073,2013,6
205,0.0,21073,2014,1
206,0.0,21073,2015,5
207,0.0,21073,2016,20
208,0.0,21073,2017,34
209,0.0,21075,2010,3
210,0.0,21075,2017,4
211,0.0,21077,2010,1
212,0.0,21077,2011,2
213,0.0,21077,2014,1
214,0.0,21077,2017,1
215,0.0,21079,2010,2
216,0.0,21079,2014,2
217,0.0,21079,2016,7
218,0.0,21079,2017,11
219,0.0,21081,2010,2
220,0.0,21081,2011,1
221,0.0,21081,2012,1
222,0.0,21081,2013,1
223,0.0,21081,2014,2
224,0.0,21081,2015,14
225,0.0,21081,2016,25
226,0.0,21081,2017,31
227,0.0,21083,2011,5
228,0.0,21083,2012,1
229,0.0,21083,2013,3
230,0.0,21083,2014,2
231,0.0,21083,2015,2
232,0.0,21083,2016,5
233,0.0,21083,2017,7
234,0.0,21085,2010,3
235,0.0,21085,2011,3
236,0.0,21085,2016,4
237,0.0,21085,2017,3
238,0.0,21087,2012,1
239,0.0,21089,2010,1
240,0.0,21089,2011,1
241,0.0,21089,2012,1
242,0.0,21089,2014,4
243,0.0,21089,2015,3
244,0.0,21089,2016,9
245,0.0,21089,2017,10
246,0.0,21093,2010,10
247,0.0,21093,2011,13
248,0.0,21093,2012,6
249,0.0,21093,2013,1
250,0.0,21093,2014,8
251,0.0,21093,2015,2
252,0.0,21093,2016,5
253,0.0,21093,2017,18
254,0.0,21095,2010,12
255,0.0,21095,2011,7
256,0.0,21095,2012,51
257,0.0,21095,2013,11
258,0.0,21095,2014,10
259,0.0,21095,2015,1
260,0.0,21095,2016,10
261,0.0,21095,2017,5
262,0.0,21097,2010,1
263,0.0,21097,2012,3
264,0.0,21097,2013,3
265,0.0,21097,2014,5
266,0.0,21097,2015,22
267,0.0,21097,2016,25
268,0.0,21097,2017,29
269,0.0,21099,2011,1
270,0.0,21099,2012,2
271,0.0,21099,2014,1
272,0.0,21101,2011,1
273,0.0,21101,2015,2
274,0.0,21101,2016,5
275,0.0,21101,2017,4
276,0.0,21103,2012,4
277,0.0,21103,2015,3
278,0.0,21103,2016,1
279,0.0,21103,2017,5
280,0.0,21107,2010,2
281,0.0,21107,2011,2
282,0.0,21107,2012,4
283,0.0,21107,2013,3
284,0.0,21107,2015,4
285,0.0,21107,2017,11
286,0.0,21109,2010,5
287,0.0,21109,2011,2
288,0.0,21109,2014,2
289,0.0,21109,2015,3
290,0.0,21109,2016,1
291,0.0,21109,2017,3
292,0.0,21111,2010,90
293,0.0,21111,2011,97
294,0.0,21111,2012,106
295,0.0,21111,2013,57
296,0.0,21111,2014,62
297,0.0,21111,2015,72
298,0.0,21111,2016,294
299,0.0,21111,2017,848
300,0.0,21113,2010,14
301,0.0,21113,2011,4
302,0.0,21113,2012,30
303,0.0,21113,2013,5
304,0.0,21113,2014,18
305,0.0,21113,2015,6
306,0.0,21113,2016,20
307,0.0,21113,2017,47
308,0.0,21115,2010,5
309,0.0,21115,2011,4
310,0.0,21115,2012,1
311,0.0,21115,2014,4
312,0.0,21115,2015,1
313,0.0,21115,2016,1
314,0.0,21115,2017,2
315,0.0,21117,2010,18
316,0.0,21117,2011,26
317,0.0,21117,2012,17
318,0.0,21117,2013,7
319,0.0,21117,2014,41
320,0.0,21117,2015,103
321,0.0,21117,2016,150
322,0.0,21117,2017,328
323,0.0,21119,2010,17
324,0.0,21119,2011,2
325,0.0,21119,2012,9
326,0.0,21119,2013,6
327,0.0,21119,2014,2
328,0.0,21119,2016,9
329,0.0,21119,2017,5
330,0.0,21121,2010,11
331,0.0,21121,2011,2
332,0.0,21121,2012,7
333,0.0,21121,2013,4
334,0.0,21121,2014,6
335,0.0,21121,2015,4
336,0.0,21121,2017,2
337,0.0,21123,2010,2
338,0.0,21123,2011,1
339,0.0,21125,2010,8
340,0.0,21125,2011,5
341,0.0,21125,2012,11
342,0.0,21125,2013,12
343,0.0,21125,2014,22
344,0.0,21125,2015,7
345,0.0,21125,2016,3
346,0.0,21125,2017,28
347,0.0,21127,2010,1
348,0.0,21127,2011,1
349,0.0,21127,2013,2
350,0.0,21127,2017,2
351,0.0,21129,2010,6
352,0.0,21129,2011,11
353,0.0,21129,2012,6
354,0.0,21129,2013,5
355,0.0,21129,2014,2
356,0.0,21129,2015,3
357,0.0,21129,2017,3
358,0.0,21131,2010,9
359,0.0,21131,2011,3
360,0.0,21131,2012,4
361,0.0,21131,2013,2
362,0.0,21131,2014,7
363,0.0,21131,2015,2
364,0.0,21131,2016,3
365,0.0,21131,2017,2
366,0.0,21133,2010,11
367,0.0,21133,2011,6
368,0.0,21133,2012,2
369,0.0,21133,2013,1
370,0.0,21133,2014,1
371,0.0,21133,2015,5
372,0.0,21133,2016,1
373,0.0,21133,2017,1
374,0.0,21135,2010,1
375,0.0,21135,2011,2
376,0.0,21135,2016,2
377,0.0,21135,2017,7
378,0.0,21137,2010,1
379,0.0,21137,2011,10
380,0.0,21137,2012,1
381,0.0,21137,2013,2
382,0.0,21137,2014,1
383,0.0,21137,2015,1
384,0.0,21137,2016,1
385,0.0,21137,2017,2
386,0.0,21139,2010,1
387,0.0,21139,2013,1
388,0.0,21139,2014,1
389,0.0,21139,2015,1
390,0.0,21139,2016,1
391,0.0,21141,2010,3
392,0.0,21141,2011,2
393,0.0,21141,2012,1
394,0.0,21141,2014,3
395,0.0,21141,2015,1
396,0.0,21141,2016,1
397,0.0,21143,2012,3
398,0.0,21143,2013,1
399,0.0,21143,2014,2
400,0.0,21145,2010,7
401,0.0,21145,2011,11
402,0.0,21145,2012,6
403,0.0,21145,2013,6
404,0.0,21145,2014,7
405,0.0,21145,2015,4
406,0.0,21145,2016,4
407,0.0,21145,2017,11
408,0.0,21147,2010,3
409,0.0,21147,2013,2
410,0.0,21147,2014,3
411,0.0,21151,2010,36
412,0.0,21151,2011,13
413,0.0,21151,2012,15
414,0.0,21151,2013,13
415,0.0,21151,2014,23
416,0.0,21151,2015,48
417,0.0,21151,2016,83
418,0.0,21151,2017,139
419,0.0,21153,2010,1
420,0.0,21153,2011,3
421,0.0,21153,2013,3
422,0.0,21153,2015,1
423,0.0,21153,2017,3
424,0.0,21155,2010,5
425,0.0,21155,2011,4
426,0.0,21155,2012,1
427,0.0,21155,2013,3
428,0.0,21155,2014,2
429,0.0,21155,2015,3
430,0.0,21155,2016,4
431,0.0,21155,2017,9
432,0.0,21157,2011,2
433,0.0,21157,2012,4
434,0.0,21157,2013,1
435,0.0,21157,2014,3
436,0.0,21157,2017,2
437,0.0,21159,2013,1
438,0.0,21159,2015,16
439,0.0,21159,2016,2
440,0.0,21159,2017,2
441,0.0,21161,2010,3
442,0.0,21161,2011,1
443,0.0,21161,2012,2
444,0.0,21161,2013,2
445,0.0,21161,2014,4
446,0.0,21161,2015,3
447,0.0,21161,2016,9
448,0.0,21161,2017,21
449,0.0,21163,2010,2
450,0.0,21163,2012,3
451,0.0,21163,2013,3
452,0.0,21163,2014,1
453,0.0,21163,2015,1
454,0.0,21163,2016,5
455,0.0,21163,2017,4
456,0.0,21165,2010,2
457,0.0,21165,2013,1
458,0.0,21165,2017,1
459,0.0,21167,2010,3
460,0.0,21167,2011,2
461,0.0,21167,2012,1
462,0.0,21167,2014,4
463,0.0,21167,2015,4
464,0.0,21167,2016,7
465,0.0,21167,2017,12
466,0.0,21169,2010,1
467,0.0,21171,2010,1
468,0.0,21171,2017,1
469,0.0,21173,2010,9
470,0.0,21173,2011,7
471,0.0,21173,2012,8
472,0.0,21173,2013,9
473,0.0,21173,2014,12
474,0.0,21173,2015,4
475,0.0,21173,2016,18
476,0.0,21173,2017,62
477,0.0,21175,2010,1
478,0.0,21175,2011,2
479,0.0,21175,2012,3
480,0.0,21175,2017,1
481,0.0,21177,2010,3
482,0.0,21177,2011,4
483,0.0,21177,2012,10
484,0.0,21177,2013,2
485,0.0,21177,2014,5
486,0.0,21177,2015,2
487,0.0,21177,2016,1
488,0.0,21179,2010,1
489,0.0,21179,2011,3
490,0.0,21179,2012,3
491,0.0,21179,2013,3
492,0.0,21179,2014,3
493,0.0,21179,2016,8
494,0.0,21179,2017,28
495,0.0,21181,2010,8
496,0.0,21181,2011,2
497,0.0,21181,2014,1
498,0.0,21181,2015,12
499,0.0,21181,2016,3
500,0.0,21181,2017,4
501,0.0,21183,2012,3
502,0.0,21183,2013,6
503,0.0,21183,2015,2
504,0.0,21183,2016,3
505,0.0,21183,2017,2
506,0.0,21185,2010,2
507,0.0,21185,2011,2
508,0.0,21185,2012,1
509,0.0,21185,2013,1
510,0.0,21185,2014,1
511,0.0,21185,2015,1
512,0.0,21185,2016,8
513,0.0,21185,2017,12
514,0.0,21187,2010,1
515,0.0,21187,2014,1
516,0.0,21187,2015,3
517,0.0,21187,2016,5
518,0.0,21187,2017,3
519,0.0,21189,2010,2
520,0.0,21189,2011,14
521,0.0,21189,2012,4
522,0.0,21189,2013,1
523,0.0,21191,2010,3
524,0.0,21191,2011,1
525,0.0,21191,2012,3
526,0.0,21191,2013,5
527,0.0,21191,2015,1
528,0.0,21191,2017,5
529,0.0,21193,2010,74
530,0.0,21193,2011,89
531,0.0,21193,2012,62
532,0.0,21193,2013,27
533,0.0,21193,2014,17
534,0.0,21193,2015,20
535,0.0,21193,2016,18
536,0.0,21193,2017,8
537,0.0,21195,2010,9
538,0.0,21195,2011,9
539,0.0,21195,2012,5
540,0.0,21195,2013,6
541,0.0,21195,2014,5
542,0.0,21195,2015,2
543,0.0,21195,2016,2
544,0.0,21195,2017,2
545,0.0,21197,2010,5
546,0.0,21197,2011,4
547,0.0,21197,2012,9
548,0.0,21197,2013,8
549,0.0,21197,2014,10
550,0.0,21197,2015,4
551,0.0,21197,2016,5
552,0.0,21197,2017,6
553,0.0,21199,2010,16
554,0.0,21199,2012,3
555,0.0,21199,2013,2
556,0.0,21199,2014,5
557,0.0,21199,2015,9
558,0.0,21199,2016,17
559,0.0,21199,2017,15
560,0.0,21201,2010,1
561,0.0,21201,2012,2
562,0.0,21201,2015,2
563,0.0,21203,2010,8
564,0.0,21203,2011,6
565,0.0,21203,2012,5
566,0.0,21203,2013,1
567,0.0,21203,2014,6
568,0.0,21203,2015,3
569,0.0,21203,2016,3
570,0.0,21203,2017,7
571,0.0,21205,2010,3
572,0.0,21205,2011,4
573,0.0,21205,2012,5
574,0.0,21205,2013,2
575,0.0,21205,2015,6
576,0.0,21205,2016,11
577,0.0,21205,2017,17
578,0.0,21207,2010,4
579,0.0,21207,2012,1
580,0.0,21207,2017,3
581,0.0,21209,2010,2
582,0.0,21209,2012,3
583,0.0,21209,2013,1
584,0.0,21209,2014,4
585,0.0,21209,2015,2
586,0.0,21209,2016,15
587,0.0,21209,2017,29
588,0.0,21211,2010,1
589,0.0,21211,2012,1
590,0.0,21211,2013,1
591,0.0,21211,2014,1
592,0.0,21211,2015,3
593,0.0,21211,2016,18
594,0.0,21211,2017,25
595,0.0,21213,2011,4
596,0.0,21213,2012,1
597,0.0,21213,2013,2
598,0.0,21213,2014,1
599,0.0,21213,2015,1
600,0.0,21213,2016,2
601,0.0,21215,2010,1
602,0.0,21215,2013,1
603,0.0,21215,2015,1
604,0.0,21215,2016,1
605,0.0,21217,2010,1
606,0.0,21217,2011,1
607,0.0,21217,2012,2
608,0.0,21217,2014,4
609,0.0,21217,2015,4
610,0.0,21217,2016,10
611,0.0,21217,2017,14
612,0.0,21219,2011,2
613,0.0,21221,2010,1
614,0.0,21221,2012,1
615,0.0,21221,2014,1
616,0.0,21223,2013,1
617,0.0,21223,2014,3
618,0.0,21223,2016,1
619,0.0,21223,2017,1
620,0.0,21225,2016,1
621,0.0,21227,2010,9
622,0.0,21227,2011,5
623,0.0,21227,2012,6
624,0.0,21227,2013,4
625,0.0,21227,2014,4
626,0.0,21227,2015,3
627,0.0,21227,2016,10
628,0.0,21227,2017,2
629,0.0,21229,2010,2
630,0.0,21231,2010,6
631,0.0,21231,2011,8
632,0.0,21231,2012,5
633,0.0,21231,2014,2
634,0.0,21231,2015,1
635,0.0,21231,2016,4
636,0.0,21231,2017,5
637,0.0,21233,2010,1
638,0.0,21233,2012,1
639,0.0,21233,2013,1
640,0.0,21233,2014,1
641,0.0,21233,2015,1
642,0.0,21233,2016,1
643,0.0,21235,2010,18
644,0.0,21235,2011,6
645,0.0,21235,2012,7
646,0.0,21235,2013,8
647,0.0,21235,2014,4
648,0.0,21235,2015,3
649,0.0,21235,2016,6
650,0.0,21235,2017,2
651,0.0,21237,2010,1
652,0.0,21237,2011,1
653,0.0,21237,2012,1
654,0.0,21237,2013,1
655,0.0,21237,2015,3
656,0.0,21237,2017,4
657,0.0,21239,2011,3
658,0.0,21239,2012,3
659,0.0,21239,2013,2
660,0.0,21239,2014,4
661,0.0,21239,2015,1
662,0.0,21239,2016,5
663,0.0,21239,2017,12
664,0.0,39001,2010,14
665,0.0,39001,2011,7
666,0.0,39001,2012,3
667,0.0,39001,2013,2
668,0.0,39001,2014,9
669,0.0,39001,2015,22
670,0.0,39001,2016,35
671,0.0,39001,2017,33
672,0.0,39003,2010,5
673,0.0,39003,2011,11
674,0.0,39003,2012,5
675,0.0,39003,2013,9
676,0.0,39003,2014,7
677,0.0,39003,2015,36
678,0.0,39003,2016,68
679,0.0,39003,2017,93
680,0.0,39005,2010,10
681,0.0,39005,2011,7
682,0.0,39005,2012,6
683,0.0,39005,2013,8
684,0.0,39005,2014,21
685,0.0,39005,2015,15
686,0.0,39005,2016,62
687,0.0,39005,2017,125
688,0.0,39007,2010,2
689,0.0,39007,2011,6
690,0.0,39007,2012,3
691,0.0,39007,2013,8
692,0.0,39007,2014,11
693,0.0,39007,2015,29
694,0.0,39007,2016,167
695,0.0,39007,2017,274
696,0.0,39009,2010,12
697,0.0,39009,2011,6
698,0.0,39009,2012,3
699,0.0,39009,2013,2
700,0.0,39009,2014,6
701,0.0,39009,2015,10
702,0.0,39009,2016,11
703,0.0,39009,2017,22
704,0.0,39011,2010,3
705,0.0,39011,2011,3
706,0.0,39011,2013,1
707,0.0,39011,2014,4
708,0.0,39011,2015,13
709,0.0,39011,2016,20
710,0.0,39011,2017,32
711,0.0,39013,2010,4
712,0.0,39013,2011,3
713,0.0,39013,2012,2
714,0.0,39013,2014,4
715,0.0,39013,2015,11
716,0.0,39013,2016,24
717,0.0,39013,2017,69
718,0.0,39015,2010,6
719,0.0,39015,2011,7
720,0.0,39015,2012,4
721,0.0,39015,2013,5
722,0.0,39015,2014,8
723,0.0,39015,2015,43
724,0.0,39015,2016,32
725,0.0,39015,2017,27
726,0.0,39017,2010,17
727,0.0,39017,2011,23
728,0.0,39017,2012,26
729,0.0,39017,2013,27
730,0.0,39017,2014,76
731,0.0,39017,2015,152
732,0.0,39017,2016,300
733,0.0,39017,2017,683
734,0.0,39019,2010,1
735,0.0,39019,2012,1
736,0.0,39019,2013,1
737,0.0,39019,2016,4
738,0.0,39019,2017,9
739,0.0,39021,2010,1
740,0.0,39021,2012,1
741,0.0,39021,2014,7
742,0.0,39021,2015,50
743,0.0,39021,2016,31
744,0.0,39021,2017,90
745,0.0,39023,2014,3
746,0.0,39023,2015,53
747,0.0,39023,2016,106
748,0.0,39023,2017,361
749,0.0,39025,2010,22
750,0.0,39025,2011,13
751,0.0,39025,2012,9
752,0.0,39025,2013,10
753,0.0,39025,2014,32
754,0.0,39025,2015,109
755,0.0,39025,2016,133
756,0.0,39025,2017,284
757,0.0,39027,2010,8
758,0.0,39027,2011,4
759,0.0,39027,2012,6
760,0.0,39027,2013,5
761,0.0,39027,2014,16
762,0.0,39027,2015,31
763,0.0,39027,2016,70
764,0.0,39027,2017,107
765,0.0,39029,2010,1
766,0.0,39029,2011,1
767,0.0,39029,2012,1
768,0.0,39029,2013,3
769,0.0,39029,2014,12
770,0.0,39029,2015,22
771,0.0,39029,2016,155
772,0.0,39029,2017,169
773,0.0,39031,2010,1
774,0.0,39031,2011,1
775,0.0,39031,2012,4
776,0.0,39031,2013,1
777,0.0,39031,2015,1
778,0.0,39031,2016,1
779,0.0,39031,2017,5
780,0.0,39033,2010,6
781,0.0,39033,2011,3
782,0.0,39033,2012,2
783,0.0,39033,2013,2
784,0.0,39033,2014,14
785,0.0,39033,2015,17
786,0.0,39033,2016,14
787,0.0,39033,2017,30
788,0.0,39035,2010,23
789,0.0,39035,2011,16
790,0.0,39035,2012,31
791,0.0,39035,2013,36
792,0.0,39035,2014,161
793,0.0,39035,2015,420
794,0.0,39035,2016,1946
795,0.0,39035,2017,4158
796,0.0,39037,2010,3
797,0.0,39037,2011,9
798,0.0,39037,2012,1
799,0.0,39037,2013,3
800,0.0,39037,2014,6
801,0.0,39037,2015,13
802,0.0,39037,2016,36
803,0.0,39037,2017,79
804,0.0,39039,2010,5
805,0.0,39039,2011,6
806,0.0,39039,2012,1
807,0.0,39039,2013,4
808,0.0,39039,2014,17
809,0.0,39039,2015,38
810,0.0,39039,2016,51
811,0.0,39039,2017,61
812,0.0,39041,2010,15
813,0.0,39041,2011,7
814,0.0,39041,2012,10
815,0.0,39041,2013,3
816,0.0,39041,2014,16
817,0.0,39041,2015,16
818,0.0,39041,2016,25
819,0.0,39041,2017,63
820,0.0,39043,2010,10
821,0.0,39043,2011,16
822,0.0,39043,2012,13
823,0.0,39043,2013,9
824,0.0,39043,2014,17
825,0.0,39043,2015,58
826,0.0,39043,2016,186
827,0.0,39043,2017,200
828,0.0,39045,2010,3
829,0.0,39045,2011,20
830,0.0,39045,2012,11
831,0.0,39045,2013,7
832,0.0,39045,2014,8
833,0.0,39045,2015,36
834,0.0,39045,2016,21
835,0.0,39045,2017,53
836,0.0,39047,2011,4
837,0.0,39047,2012,1
838,0.0,39047,2014,25
839,0.0,39047,2015,27
840,0.0,39047,2016,49
841,0.0,39047,2017,117
842,0.0,39049,2010,20
843,0.0,39049,2011,37
844,0.0,39049,2012,30
845,0.0,39049,2013,61
846,0.0,39049,2014,75
847,0.0,39049,2015,148
848,0.0,39049,2016,280
849,0.0,39049,2017,918
850,0.0,39051,2010,1
851,0.0,39051,2011,1
852,0.0,39051,2012,6
853,0.0,39051,2013,2
854,0.0,39051,2014,1
855,0.0,39051,2015,7
856,0.0,39051,2016,9
857,0.0,39051,2017,14
858,0.0,39053,2010,4
859,0.0,39053,2011,5
860,0.0,39053,2012,1
861,0.0,39053,2013,2
862,0.0,39053,2014,6
863,0.0,39053,2015,17
864,0.0,39053,2016,31
865,0.0,39053,2017,81
866,0.0,39055,2010,1
867,0.0,39055,2014,6
868,0.0,39055,2015,18
869,0.0,39055,2016,53
870,0.0,39055,2017,48
871,0.0,39057,2010,6
872,0.0,39057,2011,7
873,0.0,39057,2012,5
874,0.0,39057,2013,15
875,0.0,39057,2014,45
876,0.0,39057,2015,67
877,0.0,39057,2016,146
878,0.0,39057,2017,286
879,0.0,39059,2010,6
880,0.0,39059,2012,2
881,0.0,39059,2013,2
882,0.0,39059,2014,6
883,0.0,39059,2015,12
884,0.0,39059,2016,27
885,0.0,39059,2017,36
886,0.0,39061,2010,112
887,0.0,39061,2011,77
888,0.0,39061,2012,46
889,0.0,39061,2013,55
890,0.0,39061,2014,235
891,0.0,39061,2015,1592
892,0.0,39061,2016,2842
893,0.0,39061,2017,5425
894,0.0,39063,2010,3
895,0.0,39063,2011,3
896,0.0,39063,2012,2
897,0.0,39063,2013,3
898,0.0,39063,2014,14
899,0.0,39063,2015,42
900,0.0,39063,2016,105
901,0.0,39063,2017,144
902,0.0,39065,2010,3
903,0.0,39065,2011,1
904,0.0,39065,2012,3
905,0.0,39065,2014,4
906,0.0,39065,2015,13
907,0.0,39065,2016,12
908,0.0,39065,2017,12
909,0.0,39067,2016,2
910,0.0,39067,2017,2
911,0.0,39069,2011,4
912,0.0,39069,2012,1
913,0.0,39069,2015,3
914,0.0,39069,2016,2
915,0.0,39071,2010,8
916,0.0,39071,2011,5
917,0.0,39071,2012,6
918,0.0,39071,2013,2
919,0.0,39071,2014,34
920,0.0,39071,2015,27
921,0.0,39071,2016,66
922,0.0,39071,2017,68
923,0.0,39073,2013,1
924,0.0,39073,2014,3
925,0.0,39073,2015,2
926,0.0,39073,2016,5
927,0.0,39073,2017,14
928,0.0,39075,2010,1
929,0.0,39075,2011,3
930,0.0,39075,2012,1
931,0.0,39075,2015,4
932,0.0,39075,2016,2
933,0.0,39075,2017,4
934,0.0,39077,2010,2
935,0.0,39077,2011,4
936,0.0,39077,2012,4
937,0.0,39077,2013,6
938,0.0,39077,2014,6
939,0.0,39077,2015,25
940,0.0,39077,2016,70
941,0.0,39077,2017,105
942,0.0,39079,2010,7
943,0.0,39079,2011,2
944,0.0,39079,2012,4
945,0.0,39079,2013,4
946,0.0,39079,2014,2
947,0.0,39079,2015,9
948,0.0,39079,2016,27
949,0.0,39079,2017,33
950,0.0,39081,2010,3
951,0.0,39081,2011,3
952,0.0,39081,2012,1
953,0.0,39081,2013,2
954,0.0,39081,2014,4
955,0.0,39081,2015,6
956,0.0,39081,2016,14
957,0.0,39081,2017,14
958,0.0,39083,2010,2
959,0.0,39083,2012,3
960,0.0,39083,2013,1
961,0.0,39083,2014,1
962,0.0,39083,2016,4
963,0.0,39083,2017,18
964,0.0,39085,2010,44
965,0.0,39085,2011,38
966,0.0,39085,2012,39
967,0.0,39085,2013,37
968,0.0,39085,2014,52
969,0.0,39085,2015,250
970,0.0,39085,2016,985
971,0.0,39085,2017,1195
972,0.0,39087,2014,3
973,0.0,39087,2015,24
974,0.0,39087,2016,14
975,0.0,39087,2017,50
976,0.0,39089,2010,15
977,0.0,39089,2011,13
978,0.0,39089,2012,19
979,0.0,39089,2013,7
980,0.0,39089,2014,15
981,0.0,39089,2015,26
982,0.0,39089,2016,18
983,0.0,39089,2017,91
984,0.0,39091,2011,1
985,0.0,39091,2012,2
986,0.0,39091,2014,3
987,0.0,39091,2015,7
988,0.0,39091,2016,46
989,0.0,39091,2017,76
990,0.0,39093,2011,3
991,0.0,39093,2014,2
992,0.0,39093,2015,117
993,0.0,39093,2016,428
994,0.0,39093,2017,590
995,0.0,39095,2010,21
