Tag,FIPS,YYYY,DrugReports
0.0,21067,2013,4
0.0,21067,2014,4
0.0,21067,2015,6
0.0,21067,2016,7
0.0,21067,2017,14
0.0,21069,2010,1
0.0,21069,2011,1
0.0,21069,2012,2
0.0,21069,2013,1
0.0,21069,2015,2
0.0,21069,2017,2
0.0,21071,2010,1
0.0,21071,2011,3
0.0,21071,2012,2
0.0,21071,2013,2
0.0,21071,2014,2
0.0,21071,2015,2
0.0,21071,2016,2
0.0,21071,2017,3
0.0,21073,2010,2
0.0,21073,2011,3
0.0,21073,2012,2
0.0,21073,2013,3
0.0,21073,2014,1
0.0,21073,2015,3
0.0,21073,2016,4
0.0,21073,2017,4
0.0,21075,2010,1
0.0,21075,2017,1
0.0,21077,2010,1
0.0,21077,2011,1
0.0,21077,2014,1
0.0,21077,2017,1
0.0,21079,2010,1
0.0,21079,2014,1
0.0,21079,2016,1
0.0,21079,2017,3
0.0,21081,2010,1
0.0,21081,2011,1
0.0,21081,2012,1
0.0,21081,2013,1
0.0,21081,2014,2
0.0,21081,2015,2
0.0,21081,2016,3
0.0,21081,2017,6
0.0,21083,2011,2
0.0,21083,2012,1
0.0,21083,2013,1
0.0,21083,2014,2
0.0,21083,2015,2
0.0,21083,2016,3
0.0,21083,2017,3
0.0,21085,2010,2
0.0,21085,2011,2
0.0,21085,2016,2
0.0,21085,2017,2
0.0,21087,2012,1
0.0,21089,2010,1
0.0,21089,2011,1
0.0,21089,2012,1
0.0,21089,2014,2
0.0,21089,2015,1
0.0,21089,2016,2
0.0,21089,2017,3
0.0,21093,2010,3
0.0,21093,2011,4
0.0,21093,2012,3
0.0,21093,2013,1
0.0,21093,2014,3
0.0,21093,2015,2
0.0,21093,2016,1
0.0,21093,2017,2
0.0,21095,2010,3
0.0,21095,2011,2
0.0,21095,2012,2
0.0,21095,2013,2
0.0,21095,2014,3
0.0,21095,2015,1
0.0,21095,2016,2
0.0,21095,2017,2
0.0,21097,2010,1
0.0,21097,2012,2
0.0,21097,2013,2
0.0,21097,2014,2
0.0,21097,2015,2
0.0,21097,2016,3
0.0,21097,2017,4
0.0,21099,2011,1
0.0,21099,2012,2
0.0,21099,2014,1
0.0,21101,2011,1
0.0,21101,2015,1
0.0,21101,2016,2
0.0,21101,2017,2
0.0,21103,2012,1
0.0,21103,2015,1
0.0,21103,2016,1
0.0,21103,2017,1
0.0,21107,2010,2
0.0,21107,2011,2
0.0,21107,2012,2
0.0,21107,2013,2
0.0,21107,2015,3
0.0,21107,2017,5
0.0,21109,2010,3
0.0,21109,2011,2
0.0,21109,2014,1
0.0,21109,2015,2
0.0,21109,2016,1
0.0,21109,2017,3
0.0,21111,2010,7
0.0,21111,2011,6
0.0,21111,2012,6
0.0,21111,2013,5
0.0,21111,2014,5
0.0,21111,2015,5
0.0,21111,2016,7
0.0,21111,2017,12
0.0,21113,2010,2
0.0,21113,2011,2
0.0,21113,2012,2
0.0,21113,2013,2
0.0,21113,2014,2
0.0,21113,2015,2
0.0,21113,2016,3
0.0,21113,2017,4
0.0,21115,2010,1
0.0,21115,2011,1
0.0,21115,2012,1
0.0,21115,2014,2
0.0,21115,2015,1
0.0,21115,2016,1
0.0,21115,2017,2
0.0,21117,2010,4
0.0,21117,2011,4
0.0,21117,2012,3
0.0,21117,2013,2
0.0,21117,2014,3
0.0,21117,2015,5
0.0,21117,2016,6
0.0,21117,2017,9
0.0,21119,2010,2
0.0,21119,2011,1
0.0,21119,2012,2
0.0,21119,2013,1
0.0,21119,2014,1
0.0,21119,2016,2
0.0,21119,2017,3
0.0,21121,2010,2
0.0,21121,2011,1
0.0,21121,2012,2
0.0,21121,2013,2
0.0,21121,2014,3
0.0,21121,2015,2
0.0,21121,2017,2
0.0,21123,2010,1
0.0,21123,2011,1
0.0,21125,2010,1
0.0,21125,2011,3
0.0,21125,2012,2
0.0,21125,2013,2
0.0,21125,2014,3
0.0,21125,2015,3
0.0,21125,2016,2
0.0,21125,2017,4
0.0,21127,2010,1
0.0,21127,2011,1
0.0,21127,2013,2
0.0,21127,2017,1
0.0,21129,2010,1
0.0,21129,2011,2
0.0,21129,2012,2
0.0,21129,2013,2
0.0,21129,2014,1
0.0,21129,2015,2
0.0,21129,2017,1
0.0,21131,2010,2
0.0,21131,2011,2
0.0,21131,2012,1
0.0,21131,2013,1
0.0,21131,2014,1
0.0,21131,2015,1
0.0,21131,2016,2
0.0,21131,2017,1
0.0,21133,2010,3
0.0,21133,2011,2
0.0,21133,2012,1
0.0,21133,2013,1
0.0,21133,2014,1
0.0,21133,2015,2
0.0,21133,2016,1
0.0,21133,2017,1
0.0,21135,2010,1
0.0,21135,2011,2
0.0,21135,2016,1
0.0,21135,2017,3
0.0,21137,2010,1
0.0,21137,2011,2
0.0,21137,2012,1
0.0,21137,2013,1
0.0,21137,2014,1
0.0,21137,2015,1
0.0,21137,2016,1
0.0,21137,2017,1
0.0,21139,2010,1
0.0,21139,2013,1
0.0,21139,2014,1
0.0,21139,2015,1
0.0,21139,2016,1
0.0,21141,2010,2
0.0,21141,2011,2
0.0,21141,2012,1
0.0,21141,2014,3
0.0,21141,2015,1
0.0,21141,2016,1
0.0,21143,2012,1
0.0,21143,2013,1
0.0,21143,2014,2
0.0,21145,2010,3
0.0,21145,2011,1
0.0,21145,2012,1
0.0,21145,2013,2
0.0,21145,2014,2
0.0,21145,2015,3
0.0,21145,2016,3
0.0,21145,2017,3
0.0,21147,2010,2
0.0,21147,2013,1
0.0,21147,2014,2
0.0,21151,2010,2
0.0,21151,2011,2
0.0,21151,2012,2
0.0,21151,2013,3
0.0,21151,2014,3
0.0,21151,2015,5
0.0,21151,2016,5
0.0,21151,2017,8
0.0,21153,2010,1
0.0,21153,2011,3
0.0,21153,2013,1
0.0,21153,2015,1
0.0,21153,2017,3
0.0,21155,2010,2
0.0,21155,2011,1
0.0,21155,2012,1
0.0,21155,2013,1
0.0,21155,2014,2
0.0,21155,2015,2
0.0,21155,2016,3
0.0,21155,2017,2
0.0,21157,2011,2
0.0,21157,2012,1
0.0,21157,2013,1
0.0,21157,2014,1
0.0,21157,2017,2
0.0,21159,2013,1
0.0,21159,2015,2
0.0,21159,2016,1
0.0,21159,2017,1
0.0,21161,2010,3
0.0,21161,2011,1
0.0,21161,2012,2
0.0,21161,2013,1
0.0,21161,2014,2
0.0,21161,2015,1
0.0,21161,2016,3
0.0,21161,2017,9
0.0,21163,2010,1
0.0,21163,2012,2
0.0,21163,2013,2
0.0,21163,2014,1
0.0,21163,2015,1
0.0,21163,2016,1
0.0,21163,2017,1
0.0,21165,2010,2
0.0,21165,2013,1
0.0,21165,2017,1
0.0,21167,2010,2
0.0,21167,2011,1
0.0,21167,2012,1
0.0,21167,2014,2
0.0,21167,2015,1
0.0,21167,2016,1
0.0,21167,2017,3
0.0,21169,2010,1
0.0,21171,2010,1
0.0,21171,2017,1
0.0,21173,2010,1
0.0,21173,2011,2
0.0,21173,2012,3
0.0,21173,2013,2
0.0,21173,2014,4
0.0,21173,2015,2
0.0,21173,2016,4
0.0,21173,2017,11
0.0,21175,2010,1
0.0,21175,2011,1
0.0,21175,2012,1
0.0,21175,2017,1
0.0,21177,2010,3
0.0,21177,2011,1
0.0,21177,2012,2
0.0,21177,2013,1
0.0,21177,2014,2
0.0,21177,2015,1
0.0,21177,2016,1
0.0,21179,2010,1
0.0,21179,2011,2
0.0,21179,2012,1
0.0,21179,2013,1
0.0,21179,2014,2
0.0,21179,2016,3
0.0,21179,2017,4
0.0,21181,2010,1
0.0,21181,2011,2
0.0,21181,2014,1
0.0,21181,2015,2
0.0,21181,2016,3
0.0,21181,2017,1
0.0,21183,2012,2
0.0,21183,2013,2
0.0,21183,2015,1
0.0,21183,2016,3
0.0,21183,2017,1
0.0,21185,2010,2
0.0,21185,2011,2
0.0,21185,2012,1
0.0,21185,2013,1
0.0,21185,2014,1
0.0,21185,2015,1
0.0,21185,2016,2
0.0,21185,2017,4
0.0,21187,2010,1
0.0,21187,2014,1
0.0,21187,2015,1
0.0,21187,2016,2
0.0,21187,2017,2
0.0,21189,2010,2
0.0,21189,2011,1
0.0,21189,2012,1
0.0,21189,2013,1
0.0,21191,2010,1
0.0,21191,2011,1
0.0,21191,2012,2
0.0,21191,2013,3
0.0,21191,2015,1
0.0,21191,2017,1
0.0,21193,2010,2
0.0,21193,2011,3
0.0,21193,2012,2
0.0,21193,2013,3
0.0,21193,2014,2
0.0,21193,2015,2
0.0,21193,2016,3
0.0,21193,2017,2
0.0,21195,2010,3
0.0,21195,2011,2
0.0,21195,2012,3
0.0,21195,2013,2
0.0,21195,2014,3
0.0,21195,2015,1
0.0,21195,2016,2
0.0,21195,2017,2
0.0,21197,2010,2
0.0,21197,2011,1
0.0,21197,2012,3
0.0,21197,2013,1
0.0,21197,2014,2
0.0,21197,2015,1
0.0,21197,2016,3
0.0,21197,2017,4
0.0,21199,2010,4
0.0,21199,2012,2
0.0,21199,2013,1
0.0,21199,2014,3
0.0,21199,2015,3
0.0,21199,2016,4
0.0,21199,2017,3
0.0,21201,2010,1
0.0,21201,2012,1
0.0,21201,2015,1
0.0,21203,2010,2
0.0,21203,2011,2
0.0,21203,2012,2
0.0,21203,2013,1
0.0,21203,2014,3
0.0,21203,2015,2
0.0,21203,2016,2
0.0,21203,2017,3
0.0,21205,2010,2
0.0,21205,2011,3
0.0,21205,2012,2
0.0,21205,2013,2
0.0,21205,2015,2
0.0,21205,2016,3
0.0,21205,2017,5
0.0,21207,2010,3
0.0,21207,2012,1
0.0,21207,2017,3
0.0,21209,2010,1
0.0,21209,2012,1
0.0,21209,2013,1
0.0,21209,2014,2
0.0,21209,2015,2
0.0,21209,2016,3
0.0,21209,2017,4
0.0,21211,2010,1
0.0,21211,2012,1
0.0,21211,2013,1
0.0,21211,2014,1
0.0,21211,2015,1
0.0,21211,2016,4
0.0,21211,2017,2
0.0,21213,2011,3
0.0,21213,2012,1
0.0,21213,2013,2
0.0,21213,2014,1
0.0,21213,2015,1
0.0,21213,2016,2
0.0,21215,2010,1
0.0,21215,2013,1
0.0,21215,2015,1
0.0,21215,2016,1
0.0,21217,2010,1
0.0,21217,2011,1
0.0,21217,2012,1
0.0,21217,2014,3
0.0,21217,2015,2
0.0,21217,2016,3
0.0,21217,2017,3
0.0,21219,2011,1
0.0,21221,2010,1
0.0,21221,2012,1
0.0,21221,2014,1
0.0,21223,2013,1
0.0,21223,2014,1
0.0,21223,2016,1
0.0,21223,2017,1
0.0,21225,2016,1
0.0,21227,2010,1
0.0,21227,2011,2
0.0,21227,2012,2
0.0,21227,2013,1
0.0,21227,2014,2
0.0,21227,2015,2
0.0,21227,2016,4
0.0,21227,2017,2
0.0,21229,2010,2
0.0,21231,2010,1
0.0,21231,2011,1
0.0,21231,2012,1
0.0,21231,2014,1
0.0,21231,2015,1
0.0,21231,2016,3
0.0,21231,2017,3
0.0,21233,2010,1
0.0,21233,2012,1
0.0,21233,2013,1
0.0,21233,2014,1
0.0,21233,2015,1
0.0,21233,2016,1
0.0,21235,2010,3
0.0,21235,2011,2
0.0,21235,2012,1
0.0,21235,2013,2
0.0,21235,2014,2
0.0,21235,2015,1
0.0,21235,2016,3
0.0,21235,2017,1
0.0,21237,2010,1
0.0,21237,2011,1
0.0,21237,2012,1
0.0,21237,2013,1
0.0,21237,2015,1
0.0,21237,2017,3
0.0,21239,2011,3
0.0,21239,2012,1
0.0,21239,2013,1
0.0,21239,2014,1
0.0,21239,2015,1
0.0,21239,2016,2
0.0,21239,2017,4
0.0,39001,2010,3
0.0,39001,2011,2
0.0,39001,2012,1
0.0,39001,2013,1
0.0,39001,2014,3
0.0,39001,2015,3
0.0,39001,2016,4
0.0,39001,2017,5
0.0,39003,2010,3
0.0,39003,2011,3
0.0,39003,2012,2
0.0,39003,2013,2
0.0,39003,2014,3
0.0,39003,2015,3
0.0,39003,2016,7
0.0,39003,2017,8
0.0,39005,2010,2
0.0,39005,2011,2
0.0,39005,2012,1
0.0,39005,2013,3
0.0,39005,2014,5
0.0,39005,2015,2
0.0,39005,2016,5
0.0,39005,2017,11
0.0,39007,2010,2
0.0,39007,2011,2
0.0,39007,2012,1
0.0,39007,2013,2
0.0,39007,2014,3
0.0,39007,2015,4
0.0,39007,2016,9
0.0,39007,2017,10
0.0,39009,2010,3
0.0,39009,2011,1
0.0,39009,2012,2
0.0,39009,2013,1
0.0,39009,2014,3
0.0,39009,2015,2
0.0,39009,2016,4
0.0,39009,2017,8
0.0,39011,2010,2
0.0,39011,2011,3
0.0,39011,2013,1
0.0,39011,2014,1
0.0,39011,2015,3
0.0,39011,2016,2
0.0,39011,2017,8
0.0,39013,2010,2
0.0,39013,2011,2
0.0,39013,2012,1
0.0,39013,2014,2
0.0,39013,2015,4
0.0,39013,2016,5
0.0,39013,2017,8
0.0,39015,2010,3
0.0,39015,2011,1
0.0,39015,2012,1
0.0,39015,2013,1
0.0,39015,2014,2
0.0,39015,2015,3
0.0,39015,2016,5
0.0,39015,2017,9
0.0,39017,2010,1
0.0,39017,2011,3
0.0,39017,2012,4
0.0,39017,2013,3
0.0,39017,2014,4
0.0,39017,2015,5
0.0,39017,2016,7
0.0,39017,2017,15
0.0,39019,2010,1
0.0,39019,2012,1
0.0,39019,2013,1
0.0,39019,2016,2
0.0,39019,2017,5
0.0,39021,2010,1
0.0,39021,2012,1
0.0,39021,2014,1
0.0,39021,2015,4
0.0,39021,2016,4
0.0,39021,2017,8
0.0,39023,2014,2
0.0,39023,2015,3
0.0,39023,2016,8
0.0,39023,2017,15
0.0,39025,2010,4
0.0,39025,2011,2
0.0,39025,2012,4
0.0,39025,2013,2
0.0,39025,2014,3
0.0,39025,2015,4
0.0,39025,2016,7
0.0,39025,2017,11
0.0,39027,2010,3
0.0,39027,2011,2
0.0,39027,2012,1
0.0,39027,2013,2
0.0,39027,2014,3
0.0,39027,2015,4
0.0,39027,2016,6
0.0,39027,2017,10
0.0,39029,2010,1
0.0,39029,2011,1
0.0,39029,2012,1
0.0,39029,2013,2
0.0,39029,2014,3
0.0,39029,2015,4
0.0,39029,2016,7
0.0,39029,2017,10
0.0,39031,2010,1
0.0,39031,2011,1
0.0,39031,2012,2
0.0,39031,2013,1
0.0,39031,2015,1
0.0,39031,2016,1
0.0,39031,2017,2
0.0,39033,2010,2
0.0,39033,2011,1
0.0,39033,2012,1
0.0,39033,2013,1
0.0,39033,2014,4
0.0,39033,2015,4
0.0,39033,2016,4
0.0,39033,2017,6
0.0,39035,2010,4
0.0,39035,2011,3
0.0,39035,2012,4
0.0,39035,2013,4
0.0,39035,2014,4
0.0,39035,2015,5
0.0,39035,2016,12
0.0,39035,2017,21
0.0,39037,2010,2
0.0,39037,2011,2
0.0,39037,2012,1
0.0,39037,2013,2
0.0,39037,2014,1
0.0,39037,2015,1
0.0,39037,2016,4
0.0,39037,2017,6
0.0,39039,2010,3
0.0,39039,2011,2
0.0,39039,2012,1
0.0,39039,2013,2
0.0,39039,2014,3
0.0,39039,2015,4
0.0,39039,2016,5
0.0,39039,2017,8
0.0,39041,2010,3
0.0,39041,2011,2
0.0,39041,2012,3
0.0,39041,2013,2
0.0,39041,2014,3
0.0,39041,2015,3
0.0,39041,2016,6
0.0,39041,2017,11
0.0,39043,2010,3
0.0,39043,2011,3
0.0,39043,2012,1
0.0,39043,2013,2
0.0,39043,2014,3
0.0,39043,2015,4
0.0,39043,2016,8
0.0,39043,2017,12
0.0,39045,2010,2
0.0,39045,2011,2
0.0,39045,2012,2
0.0,39045,2013,2
0.0,39045,2014,3
0.0,39045,2015,4
0.0,39045,2016,6
0.0,39045,2017,7
0.0,39047,2011,1
0.0,39047,2012,1
0.0,39047,2014,3
0.0,39047,2015,4
0.0,39047,2016,5
0.0,39047,2017,6
0.0,39049,2010,4
0.0,39049,2011,6
0.0,39049,2012,3
0.0,39049,2013,5
0.0,39049,2014,3
0.0,39049,2015,6
0.0,39049,2016,12
0.0,39049,2017,17
0.0,39051,2010,1
0.0,39051,2011,1
0.0,39051,2012,2
0.0,39051,2013,2
0.0,39051,2014,1
0.0,39051,2015,3
0.0,39051,2016,3
0.0,39051,2017,3
0.0,39053,2010,2
0.0,39053,2011,1
0.0,39053,2012,1
0.0,39053,2013,2
0.0,39053,2014,1
0.0,39053,2015,3
0.0,39053,2016,5
0.0,39053,2017,9
0.0,39055,2010,1
0.0,39055,2014,2
0.0,39055,2015,3
0.0,39055,2016,4
0.0,39055,2017,8
0.0,39057,2010,3
0.0,39057,2011,3
0.0,39057,2012,2
0.0,39057,2013,3
0.0,39057,2014,2
0.0,39057,2015,4
0.0,39057,2016,8
0.0,39057,2017,10
0.0,39059,2010,2
0.0,39059,2012,2
0.0,39059,2013,1
0.0,39059,2014,3
0.0,39059,2015,4
0.0,39059,2016,6
0.0,39059,2017,8
0.0,39061,2010,5
0.0,39061,2011,5
0.0,39061,2012,4
0.0,39061,2013,4
0.0,39061,2014,4
0.0,39061,2015,6
0.0,39061,2016,10
0.0,39061,2017,15
0.0,39063,2010,2
0.0,39063,2011,1
0.0,39063,2012,2
0.0,39063,2013,2
0.0,39063,2014,2
0.0,39063,2015,5
0.0,39063,2016,7
0.0,39063,2017,11
0.0,39065,2010,2
0.0,39065,2011,1
0.0,39065,2012,2
0.0,39065,2014,2
0.0,39065,2015,3
0.0,39065,2016,3
0.0,39065,2017,7
0.0,39067,2016,1
0.0,39067,2017,2
0.0,39069,2011,2
0.0,39069,2012,1
0.0,39069,2015,1
0.0,39069,2016,1
0.0,39071,2010,3
0.0,39071,2011,1
0.0,39071,2012,2
0.0,39071,2013,2
0.0,39071,2014,3
0.0,39071,2015,2
0.0,39071,2016,5
0.0,39071,2017,5
0.0,39073,2013,1
0.0,39073,2014,2
0.0,39073,2015,1
0.0,39073,2016,3
0.0,39073,2017,6
0.0,39075,2010,1
0.0,39075,2011,1
0.0,39075,2012,1
0.0,39075,2015,2
0.0,39075,2016,2
0.0,39075,2017,1
0.0,39077,2010,1
0.0,39077,2011,1
0.0,39077,2012,2
0.0,39077,2013,3
0.0,39077,2014,2
0.0,39077,2015,4
0.0,39077,2016,9
0.0,39077,2017,9
0.0,39079,2010,3
0.0,39079,2011,1
0.0,39079,2012,2
0.0,39079,2013,1
0.0,39079,2014,2
0.0,39079,2015,2
0.0,39079,2016,4
0.0,39079,2017,7
0.0,39081,2010,2
0.0,39081,2011,1
0.0,39081,2012,1
0.0,39081,2013,1
0.0,39081,2014,1
0.0,39081,2015,3
0.0,39081,2016,2
0.0,39081,2017,6
0.0,39083,2010,1
0.0,39083,2012,1
0.0,39083,2013,1
0.0,39083,2014,1
0.0,39083,2016,2
0.0,39083,2017,4
0.0,39085,2010,4
0.0,39085,2011,4
0.0,39085,2012,4
0.0,39085,2013,2
0.0,39085,2014,4
0.0,39085,2015,5
0.0,39085,2016,9
0.0,39085,2017,17
0.0,39087,2014,2
0.0,39087,2015,3
0.0,39087,2016,4
0.0,39087,2017,7
0.0,39089,2010,4
0.0,39089,2011,4
0.0,39089,2012,4
0.0,39089,2013,1
0.0,39089,2014,3
0.0,39089,2015,4
0.0,39089,2016,5
0.0,39089,2017,14
0.0,39091,2011,1
0.0,39091,2012,1
0.0,39091,2014,1
0.0,39091,2015,2
0.0,39091,2016,5
0.0,39091,2017,8
0.0,39093,2011,2
0.0,39093,2014,2
0.0,39093,2015,4
0.0,39093,2016,8
0.0,39093,2017,11
0.0,39095,2010,3
0.0,39095,2011,2
0.0,39095,2012,2
0.0,39095,2013,2
0.0,39095,2014,3
0.0,39095,2015,5
0.0,39095,2016,5
0.0,39095,2017,12
0.0,39097,2010,2
0.0,39097,2011,2
0.0,39097,2012,1
0.0,39097,2013,1
0.0,39097,2014,2
0.0,39097,2015,3
0.0,39097,2016,6
0.0,39097,2017,5
0.0,39099,2010,4
0.0,39099,2011,4
0.0,39099,2012,2
0.0,39099,2013,3
0.0,39099,2014,3
0.0,39099,2015,4
0.0,39099,2016,7
0.0,39099,2017,14
0.0,39101,2010,1
0.0,39101,2011,1
0.0,39101,2012,2
0.0,39101,2013,2
0.0,39101,2014,4
0.0,39101,2015,4
0.0,39101,2016,8
0.0,39101,2017,8
0.0,39103,2010,2
0.0,39103,2011,1
0.0,39103,2012,3
0.0,39103,2013,3
0.0,39103,2014,3
0.0,39103,2015,4
0.0,39103,2016,6
0.0,39103,2017,14
0.0,39105,2010,1
0.0,39105,2011,1
0.0,39105,2013,1
0.0,39105,2014,1
0.0,39105,2015,1
0.0,39105,2016,2
0.0,39105,2017,2
0.0,39107,2010,2
0.0,39107,2011,1
0.0,39107,2013,1
0.0,39107,2014,2
0.0,39107,2015,4
0.0,39107,2016,2
0.0,39107,2017,6
0.0,39109,2010,2
0.0,39109,2011,1
0.0,39109,2012,3
0.0,39109,2013,1
0.0,39109,2014,3
0.0,39109,2015,3
0.0,39109,2016,7
0.0,39109,2017,12
0.0,39111,2011,1
0.0,39111,2014,1
0.0,39111,2015,2
0.0,39111,2016,3
0.0,39111,2017,5
0.0,39113,2010,5
0.0,39113,2011,4
0.0,39113,2012,2
0.0,39113,2013,3
0.0,39113,2014,5
0.0,39113,2015,6
0.0,39113,2016,10
0.0,39113,2017,16
0.0,39115,2010,1
0.0,39115,2011,2
0.0,39115,2012,1
0.0,39115,2015,1
0.0,39115,2017,4
0.0,39117,2010,2
0.0,39117,2011,2
0.0,39117,2012,2
0.0,39117,2013,1
0.0,39117,2014,1
0.0,39117,2015,3
0.0,39117,2016,1
0.0,39117,2017,5
0.0,39119,2010,1
0.0,39119,2013,1
0.0,39119,2014,2
0.0,39119,2015,3
0.0,39119,2016,6
0.0,39119,2017,7
0.0,39121,2011,1
0.0,39121,2014,1
0.0,39121,2016,1
0.0,39121,2017,3
0.0,39123,2010,1
0.0,39123,2011,1
0.0,39123,2012,2
0.0,39123,2014,1
0.0,39123,2015,3
0.0,39123,2016,2
0.0,39123,2017,6
0.0,39125,2010,1
0.0,39125,2014,1
0.0,39125,2015,1
0.0,39125,2016,1
0.0,39125,2017,2
0.0,39127,2010,1
0.0,39127,2011,1
0.0,39127,2012,1
0.0,39127,2013,1
0.0,39127,2015,1
0.0,39127,2016,2
0.0,39127,2017,2
0.0,39129,2010,2
0.0,39129,2011,2
0.0,39129,2012,2
0.0,39129,2013,1
0.0,39129,2014,3
0.0,39129,2015,3
0.0,39129,2016,1
0.0,39129,2017,6
0.0,39131,2010,1
0.0,39131,2011,1
0.0,39131,2013,1
0.0,39131,2014,1
0.0,39131,2016,1
0.0,39131,2017,4
0.0,39133,2010,3
0.0,39133,2011,3
0.0,39133,2012,1
0.0,39133,2013,2
0.0,39133,2014,3
0.0,39133,2015,4
0.0,39133,2016,7
0.0,39133,2017,11
0.0,39135,2010,2
0.0,39135,2014,2
0.0,39135,2015,1
0.0,39135,2016,5
0.0,39135,2017,6
0.0,39137,2012,1
0.0,39137,2016,2
0.0,39137,2017,1
0.0,39139,2010,3
0.0,39139,2012,1
0.0,39139,2013,2
0.0,39139,2014,3
0.0,39139,2015,4
0.0,39139,2016,6
0.0,39139,2017,12
0.0,39141,2010,4
0.0,39141,2011,1
0.0,39141,2012,2
0.0,39141,2013,1
0.0,39141,2014,3
0.0,39141,2015,4
0.0,39141,2016,6
0.0,39141,2017,10
0.0,39143,2010,2
0.0,39143,2012,1
0.0,39143,2013,1
0.0,39143,2014,2
0.0,39143,2015,5
0.0,39143,2016,7
