,YYYY,DrugReports,DrugCode_0,DrugCode_1,StateCode_0,StateCode_1,StateCode_2,CountyCode_0,CountyCode_1,CountyCode_2,CountyCode_3,CountyCode_4,CountyCode_5,CountyCode_6,CountyCode_7
61,2016,42,1,0,0,1,0,0,0,0,0,0,0,0,0
62,2017,43,1,0,0,1,0,0,0,0,0,0,0,0,0
63,2010,1,0,0,0,1,1,0,0,0,0,0,0,0,0
64,2011,4,0,0,0,1,1,0,0,0,0,0,0,0,0
65,2012,3,0,0,0,1,1,0,0,0,0,0,0,0,0
66,2013,1,0,0,0,1,1,0,0,0,0,0,0,0,0
67,2014,2,0,0,0,1,1,0,0,0,0,0,0,0,0
68,2016,6,0,0,0,1,1,0,0,0,0,0,0,0,0
69,2017,1,0,0,0,1,1,0,0,0,0,0,0,0,0
70,2010,8,0,1,0,1,1,0,0,0,0,0,0,0,0
71,2011,33,0,1,0,1,1,0,0,0,0,0,0,0,0
72,2012,15,0,1,0,1,1,0,0,0,0,0,0,0,0
73,2014,7,0,1,0,1,1,0,0,0,0,0,0,0,0
74,2015,9,0,1,0,1,1,0,0,0,0,0,0,0,0
75,2016,9,0,1,0,1,1,0,0,0,0,0,0,0,0
76,2017,10,0,1,0,1,1,0,0,0,0,0,0,0,0
77,2011,1,1,0,0,1,1,0,0,0,0,0,0,0,0
78,2012,5,1,0,0,1,1,0,0,0,0,0,0,0,0
79,2013,2,1,0,0,1,1,0,0,0,0,0,0,0,0
80,2014,38,1,0,0,1,1,0,0,0,0,0,0,0,0
81,2015,6,1,0,0,1,1,0,0,0,0,0,0,0,0
82,2016,13,1,0,0,1,1,0,0,0,0,0,0,0,0
83,2017,7,1,0,0,1,1,0,0,0,0,0,0,0,0
84,2016,2,0,0,1,0,0,0,0,0,0,0,0,0,0
85,2010,2,0,1,1,0,0,0,0,0,0,0,0,0,0
86,2011,1,0,1,1,0,0,0,0,0,0,0,0,0,0
87,2012,1,0,1,1,0,0,0,0,0,0,0,0,0,0
88,2013,1,0,1,1,0,0,0,0,0,0,0,0,0,0
89,2014,3,0,1,1,0,0,0,0,0,0,0,0,0,0
90,2017,2,0,1,1,0,0,0,0,0,0,0,0,0,0
91,2010,4,0,0,0,0,0,0,0,0,0,0,0,0,1
92,2012,5,0,0,0,0,0,0,0,0,0,0,0,0,1
93,2014,3,0,0,0,0,0,0,0,0,0,0,0,0,1
94,2010,26,0,1,0,0,0,0,0,0,0,0,0,0,1
95,2011,17,0,1,0,0,0,0,0,0,0,0,0,0,1
96,2012,86,0,1,0,0,0,0,0,0,0,0,0,0,1
97,2013,23,0,1,0,0,0,0,0,0,0,0,0,0,1
98,2014,27,0,1,0,0,0,0,0,0,0,0,0,0,1
99,2015,12,0,1,0,0,0,0,0,0,0,0,0,0,1
100,2016,23,0,1,0,0,0,0,0,0,0,0,0,0,1
101,2017,20,0,1,0,0,0,0,0,0,0,0,0,0,1
102,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,1
103,2010,5,0,0,0,0,1,0,0,0,0,0,0,0,1
104,2011,11,0,0,0,0,1,0,0,0,0,0,0,0,1
105,2012,5,0,0,0,0,1,0,0,0,0,0,0,0,1
106,2013,9,0,0,0,0,1,0,0,0,0,0,0,0,1
107,2014,7,0,0,0,0,1,0,0,0,0,0,0,0,1
108,2015,36,0,0,0,0,1,0,0,0,0,0,0,0,1
109,2016,68,0,0,0,0,1,0,0,0,0,0,0,0,1
110,2017,93,0,0,0,0,1,0,0,0,0,0,0,0,1
111,2010,92,0,1,0,0,1,0,0,0,0,0,0,0,1
112,2011,116,0,1,0,0,1,0,0,0,0,0,0,0,1
113,2012,124,0,1,0,0,1,0,0,0,0,0,0,0,1
114,2013,119,0,1,0,0,1,0,0,0,0,0,0,0,1
115,2014,121,0,1,0,0,1,0,0,0,0,0,0,0,1
116,2015,63,0,1,0,0,1,0,0,0,0,0,0,0,1
117,2016,55,0,1,0,0,1,0,0,0,0,0,0,0,1
118,2017,16,0,1,0,0,1,0,0,0,0,0,0,0,1
119,2010,43,1,0,0,0,1,0,0,0,0,0,0,0,1
120,2011,63,1,0,0,0,1,0,0,0,0,0,0,0,1
121,2012,78,1,0,0,0,1,0,0,0,0,0,0,0,1
122,2013,168,1,0,0,0,1,0,0,0,0,0,0,0,1
123,2014,182,1,0,0,0,1,0,0,0,0,0,0,0,1
124,2015,219,1,0,0,0,1,0,0,0,0,0,0,0,1
125,2016,117,1,0,0,0,1,0,0,0,0,0,0,0,1
126,2017,56,1,0,0,0,1,0,0,0,0,0,0,0,1
127,2010,66,0,0,0,1,0,0,0,0,0,0,0,0,1
128,2011,43,0,0,0,1,0,0,0,0,0,0,0,0,1
129,2012,38,0,0,0,1,0,0,0,0,0,0,0,0,1
130,2013,50,0,0,0,1,0,0,0,0,0,0,0,0,1
131,2014,109,0,0,0,1,0,0,0,0,0,0,0,0,1
132,2015,447,0,0,0,1,0,0,0,0,0,0,0,0,1
133,2016,967,0,0,0,1,0,0,0,0,0,0,0,0,1
134,2017,2253,0,0,0,1,0,0,0,0,0,0,0,0,1
135,2010,757,0,1,0,1,0,0,0,0,0,0,0,0,1
136,2011,872,0,1,0,1,0,0,0,0,0,0,0,0,1
137,2012,757,0,1,0,1,0,0,0,0,0,0,0,0,1
138,2013,685,0,1,0,1,0,0,0,0,0,0,0,0,1
139,2014,756,0,1,0,1,0,0,0,0,0,0,0,0,1
140,2015,637,0,1,0,1,0,0,0,0,0,0,0,0,1
141,2016,600,0,1,0,1,0,0,0,0,0,0,0,0,1
142,2017,506,0,1,0,1,0,0,0,0,0,0,0,0,1
143,2010,2592,1,0,0,1,0,0,0,0,0,0,0,0,1
144,2011,2298,1,0,0,1,0,0,0,0,0,0,0,0,1
145,2012,2739,1,0,0,1,0,0,0,0,0,0,0,0,1
146,2013,3279,1,0,0,1,0,0,0,0,0,0,0,0,1
147,2014,3774,1,0,0,1,0,0,0,0,0,0,0,0,1
148,2015,3674,1,0,0,1,0,0,0,0,0,0,0,0,1
149,2016,3400,1,0,0,1,0,0,0,0,0,0,0,0,1
150,2017,1894,1,0,0,1,0,0,0,0,0,0,0,0,1
151,2010,3,0,0,0,1,1,0,0,0,0,0,0,0,1
152,2012,2,0,0,0,1,1,0,0,0,0,0,0,0,1
153,2013,1,0,0,0,1,1,0,0,0,0,0,0,0,1
154,2014,6,0,0,0,1,1,0,0,0,0,0,0,0,1
155,2015,12,0,0,0,1,1,0,0,0,0,0,0,0,1
156,2016,9,0,0,0,1,1,0,0,0,0,0,0,0,1
157,2017,16,0,0,0,1,1,0,0,0,0,0,0,0,1
158,2010,13,0,1,0,1,1,0,0,0,0,0,0,0,1
159,2011,7,0,1,0,1,1,0,0,0,0,0,0,0,1
160,2012,11,0,1,0,1,1,0,0,0,0,0,0,0,1
161,2013,17,0,1,0,1,1,0,0,0,0,0,0,0,1
162,2014,19,0,1,0,1,1,0,0,0,0,0,0,0,1
163,2015,16,0,1,0,1,1,0,0,0,0,0,0,0,1
164,2016,15,0,1,0,1,1,0,0,0,0,0,0,0,1
165,2017,6,0,1,0,1,1,0,0,0,0,0,0,0,1
166,2010,4,1,0,0,1,1,0,0,0,0,0,0,0,1
167,2012,2,1,0,0,1,1,0,0,0,0,0,0,0,1
168,2013,2,1,0,0,1,1,0,0,0,0,0,0,0,1
169,2014,17,1,0,0,1,1,0,0,0,0,0,0,0,1
170,2015,13,1,0,0,1,1,0,0,0,0,0,0,0,1
171,2016,36,1,0,0,1,1,0,0,0,0,0,0,0,1
172,2017,31,1,0,0,1,1,0,0,0,0,0,0,0,1
173,2010,2,0,0,1,0,0,0,0,0,0,0,0,0,1
174,2011,15,0,0,1,0,0,0,0,0,0,0,0,0,1
175,2012,14,0,0,1,0,0,0,0,0,0,0,0,0,1
176,2013,4,0,0,1,0,0,0,0,0,0,0,0,0,1
177,2014,10,0,0,1,0,0,0,0,0,0,0,0,0,1
178,2015,14,0,0,1,0,0,0,0,0,0,0,0,0,1
179,2016,41,0,0,1,0,0,0,0,0,0,0,0,0,1
180,2017,32,0,0,1,0,0,0,0,0,0,0,0,0,1
181,2010,25,0,1,1,0,0,0,0,0,0,0,0,0,1
182,2011,49,0,1,1,0,0,0,0,0,0,0,0,0,1
183,2012,49,0,1,1,0,0,0,0,0,0,0,0,0,1
184,2013,21,0,1,1,0,0,0,0,0,0,0,0,0,1
185,2014,9,0,1,1,0,0,0,0,0,0,0,0,0,1
186,2015,13,0,1,1,0,0,0,0,0,0,0,0,0,1
187,2016,15,0,1,1,0,0,0,0,0,0,0,0,0,1
188,2017,11,0,1,1,0,0,0,0,0,0,0,0,0,1
189,2010,146,1,0,1,0,0,0,0,0,0,0,0,0,1
190,2011,210,1,0,1,0,0,0,0,0,0,0,0,0,1
191,2012,206,1,0,1,0,0,0,0,0,0,0,0,0,1
192,2013,121,1,0,1,0,0,0,0,0,0,0,0,0,1
193,2014,76,1,0,1,0,0,0,0,0,0,0,0,0,1
194,2015,102,1,0,1,0,0,0,0,0,0,0,0,0,1
195,2016,141,1,0,1,0,0,0,0,0,0,0,0,0,1
196,2017,73,1,0,1,0,0,0,0,0,0,0,0,0,1
197,2010,2,0,0,0,0,0,0,0,0,0,0,0,1,0
198,2011,7,0,0,0,0,0,0,0,0,0,0,0,1,0
199,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0
200,2015,2,0,0,0,0,0,0,0,0,0,0,0,1,0
201,2016,3,0,0,0,0,0,0,0,0,0,0,0,1,0
202,2017,6,0,0,0,0,0,0,0,0,0,0,0,1,0
203,2010,32,0,1,0,0,0,0,0,0,0,0,0,1,0
204,2011,33,0,1,0,0,0,0,0,0,0,0,0,1,0
205,2012,6,0,1,0,0,0,0,0,0,0,0,0,1,0
206,2013,6,0,1,0,0,0,0,0,0,0,0,0,1,0
207,2014,4,0,1,0,0,0,0,0,0,0,0,0,1,0
208,2015,3,0,1,0,0,0,0,0,0,0,0,0,1,0
209,2016,3,0,1,0,0,0,0,0,0,0,0,0,1,0
210,2017,1,0,1,0,0,0,0,0,0,0,0,0,1,0
211,2012,15,1,0,0,0,0,0,0,0,0,0,0,1,0
212,2013,18,1,0,0,0,0,0,0,0,0,0,0,1,0
213,2014,20,1,0,0,0,0,0,0,0,0,0,0,1,0
214,2015,12,1,0,0,0,0,0,0,0,0,0,0,1,0
215,2016,16,1,0,0,0,0,0,0,0,0,0,0,1,0
216,2017,13,1,0,0,0,0,0,0,0,0,0,0,1,0
217,2010,10,0,0,0,0,1,0,0,0,0,0,0,1,0
218,2011,7,0,0,0,0,1,0,0,0,0,0,0,1,0
219,2012,6,0,0,0,0,1,0,0,0,0,0,0,1,0
220,2013,8,0,0,0,0,1,0,0,0,0,0,0,1,0
221,2014,21,0,0,0,0,1,0,0,0,0,0,0,1,0
222,2015,15,0,0,0,0,1,0,0,0,0,0,0,1,0
223,2016,62,0,0,0,0,1,0,0,0,0,0,0,1,0
224,2017,125,0,0,0,0,1,0,0,0,0,0,0,1,0
225,2010,79,0,1,0,0,1,0,0,0,0,0,0,1,0
226,2011,80,0,1,0,0,1,0,0,0,0,0,0,1,0
227,2012,71,0,1,0,0,1,0,0,0,0,0,0,1,0
228,2013,68,0,1,0,0,1,0,0,0,0,0,0,1,0
229,2014,63,0,1,0,0,1,0,0,0,0,0,0,1,0
230,2015,84,0,1,0,0,1,0,0,0,0,0,0,1,0
231,2016,87,0,1,0,0,1,0,0,0,0,0,0,1,0
232,2017,67,0,1,0,0,1,0,0,0,0,0,0,1,0
233,2010,82,1,0,0,0,1,0,0,0,0,0,0,1,0
234,2011,56,1,0,0,0,1,0,0,0,0,0,0,1,0
235,2012,76,1,0,0,0,1,0,0,0,0,0,0,1,0
236,2013,112,1,0,0,0,1,0,0,0,0,0,0,1,0
237,2014,106,1,0,0,0,1,0,0,0,0,0,0,1,0
238,2015,215,1,0,0,0,1,0,0,0,0,0,0,1,0
239,2016,184,1,0,0,0,1,0,0,0,0,0,0,1,0
240,2017,122,1,0,0,0,1,0,0,0,0,0,0,1,0
241,2010,2,0,0,0,1,0,0,0,0,0,0,0,1,0
242,2011,3,0,0,0,1,0,0,0,0,0,0,0,1,0
243,2012,1,0,0,0,1,0,0,0,0,0,0,0,1,0
244,2013,3,0,0,0,1,0,0,0,0,0,0,0,1,0
245,2014,8,0,0,0,1,0,0,0,0,0,0,0,1,0
246,2015,9,0,0,0,1,0,0,0,0,0,0,0,1,0
247,2016,31,0,0,0,1,0,0,0,0,0,0,0,1,0
248,2017,37,0,0,0,1,0,0,0,0,0,0,0,1,0
249,2010,26,0,1,0,1,0,0,0,0,0,0,0,1,0
250,2011,34,0,1,0,1,0,0,0,0,0,0,0,1,0
251,2012,22,0,1,0,1,0,0,0,0,0,0,0,1,0
252,2013,13,0,1,0,1,0,0,0,0,0,0,0,1,0
253,2014,18,0,1,0,1,0,0,0,0,0,0,0,1,0
254,2015,19,0,1,0,1,0,0,0,0,0,0,0,1,0
255,2016,25,0,1,0,1,0,0,0,0,0,0,0,1,0
256,2017,12,0,1,0,1,0,0,0,0,0,0,0,1,0
257,2010,96,1,0,0,1,0,0,0,0,0,0,0,1,0
258,2011,86,1,0,0,1,0,0,0,0,0,0,0,1,0
259,2012,65,1,0,0,1,0,0,0,0,0,0,0,1,0
260,2013,57,1,0,0,1,0,0,0,0,0,0,0,1,0
261,2014,151,1,0,0,1,0,0,0,0,0,0,0,1,0
262,2015,113,1,0,0,1,0,0,0,0,0,0,0,1,0
263,2016,119,1,0,0,1,0,0,0,0,0,0,0,1,0
264,2017,34,1,0,0,1,0,0,0,0,0,0,0,1,0
265,2010,9,0,0,0,1,1,0,0,0,0,0,0,1,0
266,2011,1,0,0,0,1,1,0,0,0,0,0,0,1,0
267,2013,1,0,0,0,1,1,0,0,0,0,0,0,1,0
268,2014,6,0,0,0,1,1,0,0,0,0,0,0,1,0
269,2015,4,0,0,0,1,1,0,0,0,0,0,0,1,0
270,2016,4,0,0,0,1,1,0,0,0,0,0,0,1,0
271,2017,6,0,0,0,1,1,0,0,0,0,0,0,1,0
272,2010,25,0,1,0,1,1,0,0,0,0,0,0,1,0
273,2011,34,0,1,0,1,1,0,0,0,0,0,0,1,0
274,2012,36,0,1,0,1,1,0,0,0,0,0,0,1,0
275,2013,13,0,1,0,1,1,0,0,0,0,0,0,1,0
276,2014,44,0,1,0,1,1,0,0,0,0,0,0,1,0
277,2015,43,0,1,0,1,1,0,0,0,0,0,0,1,0
278,2016,32,0,1,0,1,1,0,0,0,0,0,0,1,0
279,2017,49,0,1,0,1,1,0,0,0,0,0,0,1,0
280,2011,1,1,0,0,1,1,0,0,0,0,0,0,1,0
281,2013,5,1,0,0,1,1,0,0,0,0,0,0,1,0
282,2014,14,1,0,0,1,1,0,0,0,0,0,0,1,0
283,2015,16,1,0,0,1,1,0,0,0,0,0,0,1,0
284,2016,12,1,0,0,1,1,0,0,0,0,0,0,1,0
285,2017,19,1,0,0,1,1,0,0,0,0,0,0,1,0
286,2010,1,0,0,1,0,0,0,0,0,0,0,0,1,0
287,2010,39,0,1,1,0,0,0,0,0,0,0,0,1,0
288,2011,46,0,1,1,0,0,0,0,0,0,0,0,1,0
289,2012,13,0,1,1,0,0,0,0,0,0,0,0,1,0
290,2013,5,0,1,1,0,0,0,0,0,0,0,0,1,0
291,2014,7,0,1,1,0,0,0,0,0,0,0,0,1,0
292,2015,6,0,1,1,0,0,0,0,0,0,0,0,1,0
293,2016,1,0,1,1,0,0,0,0,0,0,0,0,1,0
294,2017,2,0,1,1,0,0,0,0,0,0,0,0,1,0
295,2014,1,1,0,1,0,0,0,0,0,0,0,0,1,0
296,2015,5,1,0,1,0,0,0,0,0,0,0,0,1,0
297,2016,1,1,0,1,0,0,0,0,0,0,0,0,1,0
298,2017,4,1,0,1,0,0,0,0,0,0,0,0,1,0
299,2016,1,0,0,0,0,0,0,0,0,0,0,0,1,1
300,2010,1,0,1,0,0,0,0,0,0,0,0,0,1,1
301,2011,1,0,1,0,0,0,0,0,0,0,0,0,1,1
302,2012,1,0,1,0,0,0,0,0,0,0,0,0,1,1
303,2013,2,0,1,0,0,0,0,0,0,0,0,0,1,1
304,2015,1,1,0,0,0,0,0,0,0,0,0,0,1,1
305,2017,1,1,0,0,0,0,0,0,0,0,0,0,1,1
306,2010,2,0,0,0,0,1,0,0,0,0,0,0,1,1
307,2011,6,0,0,0,0,1,0,0,0,0,0,0,1,1
308,2012,3,0,0,0,0,1,0,0,0,0,0,0,1,1
309,2013,8,0,0,0,0,1,0,0,0,0,0,0,1,1
310,2014,11,0,0,0,0,1,0,0,0,0,0,0,1,1
311,2015,29,0,0,0,0,1,0,0,0,0,0,0,1,1
312,2016,167,0,0,0,0,1,0,0,0,0,0,0,1,1
313,2017,274,0,0,0,0,1,0,0,0,0,0,0,1,1
314,2010,76,0,1,0,0,1,0,0,0,0,0,0,1,1
315,2011,80,0,1,0,0,1,0,0,0,0,0,0,1,1
316,2012,76,0,1,0,0,1,0,0,0,0,0,0,1,1
317,2013,70,0,1,0,0,1,0,0,0,0,0,0,1,1
318,2014,122,0,1,0,0,1,0,0,0,0,0,0,1,1
319,2015,80,0,1,0,0,1,0,0,0,0,0,0,1,1
320,2016,84,0,1,0,0,1,0,0,0,0,0,0,1,1
321,2017,45,0,1,0,0,1,0,0,0,0,0,0,1,1
322,2010,26,1,0,0,0,1,0,0,0,0,0,0,1,1
323,2011,50,1,0,0,0,1,0,0,0,0,0,0,1,1
324,2012,158,1,0,0,0,1,0,0,0,0,0,0,1,1
325,2013,182,1,0,0,0,1,0,0,0,0,0,0,1,1
326,2014,258,1,0,0,0,1,0,0,0,0,0,0,1,1
327,2015,306,1,0,0,0,1,0,0,0,0,0,0,1,1
328,2016,245,1,0,0,0,1,0,0,0,0,0,0,1,1
329,2017,126,1,0,0,0,1,0,0,0,0,0,0,1,1
330,2010,2,0,0,0,1,0,0,0,0,0,0,0,1,1
331,2011,1,0,0,0,1,0,0,0,0,0,0,0,1,1
332,2012,5,0,0,0,1,0,0,0,0,0,0,0,1,1
333,2013,1,0,0,0,1,0,0,0,0,0,0,0,1,1
334,2014,3,0,0,0,1,0,0,0,0,0,0,0,1,1
335,2015,17,0,0,0,1,0,0,0,0,0,0,0,1,1
336,2016,107,0,0,0,1,0,0,0,0,0,0,0,1,1
337,2017,140,0,0,0,1,0,0,0,0,0,0,0,1,1
338,2010,36,0,1,0,1,0,0,0,0,0,0,0,1,1
339,2011,35,0,1,0,1,0,0,0,0,0,0,0,1,1
340,2012,37,0,1,0,1,0,0,0,0,0,0,0,1,1
341,2013,20,0,1,0,1,0,0,0,0,0,0,0,1,1
342,2014,50,0,1,0,1,0,0,0,0,0,0,0,1,1
343,2015,35,0,1,0,1,0,0,0,0,0,0,0,1,1
344,2016,28,0,1,0,1,0,0,0,0,0,0,0,1,1
345,2017,28,0,1,0,1,0,0,0,0,0,0,0,1,1
346,2010,87,1,0,0,1,0,0,0,0,0,0,0,1,1
347,2011,104,1,0,0,1,0,0,0,0,0,0,0,1,1
348,2012,86,1,0,0,1,0,0,0,0,0,0,0,1,1
349,2013,161,1,0,0,1,0,0,0,0,0,0,0,1,1
350,2014,128,1,0,0,1,0,0,0,0,0,0,0,1,1
351,2015,171,1,0,0,1,0,0,0,0,0,0,0,1,1
352,2016,208,1,0,0,1,0,0,0,0,0,0,0,1,1
353,2017,108,1,0,0,1,0,0,0,0,0,0,0,1,1
354,2010,1,0,0,0,1,1,0,0,0,0,0,0,1,1
355,2013,5,0,0,0,1,1,0,0,0,0,0,0,1,1
356,2014,1,0,0,0,1,1,0,0,0,0,0,0,1,1
357,2017,2,0,0,0,1,1,0,0,0,0,0,0,1,1
358,2010,6,0,1,0,1,1,0,0,0,0,0,0,1,1
359,2011,8,0,1,0,1,1,0,0,0,0,0,0,1,1
360,2012,15,0,1,0,1,1,0,0,0,0,0,0,1,1
361,2013,25,0,1,0,1,1,0,0,0,0,0,0,1,1
362,2014,5,0,1,0,1,1,0,0,0,0,0,0,1,1
363,2015,1,0,1,0,1,1,0,0,0,0,0,0,1,1
364,2016,3,0,1,0,1,1,0,0,0,0,0,0,1,1
365,2017,2,0,1,0,1,1,0,0,0,0,0,0,1,1
366,2010,1,1,0,0,1,1,0,0,0,0,0,0,1,1
367,2011,2,1,0,0,1,1,0,0,0,0,0,0,1,1
368,2013,1,1,0,0,1,1,0,0,0,0,0,0,1,1
369,2017,5,1,0,0,1,1,0,0,0,0,0,0,1,1
370,2011,2,0,0,1,0,0,0,0,0,0,0,0,1,1
371,2014,2,0,0,1,0,0,0,0,0,0,0,0,1,1
372,2016,3,0,0,1,0,0,0,0,0,0,0,0,1,1
373,2010,61,0,1,1,0,0,0,0,0,0,0,0,1,1
374,2011,33,0,1,1,0,0,0,0,0,0,0,0,1,1
375,2012,45,0,1,1,0,0,0,0,0,0,0,0,1,1
376,2013,20,0,1,1,0,0,0,0,0,0,0,0,1,1
377,2014,17,0,1,1,0,0,0,0,0,0,0,0,1,1
378,2015,2,0,1,1,0,0,0,0,0,0,0,0,1,1
379,2016,16,0,1,1,0,0,0,0,0,0,0,0,1,1
380,2017,5,0,1,1,0,0,0,0,0,0,0,0,1,1
381,2013,12,1,0,1,0,0,0,0,0,0,0,0,1,1
382,2014,2,1,0,1,0,0,0,0,0,0,0,0,1,1
383,2016,10,1,0,1,0,0,0,0,0,0,0,0,1,1
384,2010,5,0,0,0,0,0,0,0,0,0,0,1,0,0
385,2011,6,0,0,0,0,0,0,0,0,0,0,1,0,0
386,2012,4,0,0,0,0,0,0,0,0,0,0,1,0,0
387,2013,3,0,0,0,0,0,0,0,0,0,0,1,0,0
388,2014,3,0,0,0,0,0,0,0,0,0,0,1,0,0
389,2015,3,0,0,0,0,0,0,0,0,0,0,1,0,0
390,2017,4,0,0,0,0,0,0,0,0,0,0,1,0,0
391,2010,57,0,1,0,0,0,0,0,0,0,0,1,0,0
392,2011,93,0,1,0,0,0,0,0,0,0,0,1,0,0
393,2012,70,0,1,0,0,0,0,0,0,0,0,1,0,0
394,2013,58,0,1,0,0,0,0,0,0,0,0,1,0,0
395,2014,47,0,1,0,0,0,0,0,0,0,0,1,0,0
396,2015,37,0,1,0,0,0,0,0,0,0,0,1,0,0
397,2016,36,0,1,0,0,0,0,0,0,0,0,1,0,0
398,2017,41,0,1,0,0,0,0,0,0,0,0,1,0,0
399,2011,3,1,0,0,0,0,0,0,0,0,0,1,0,0
400,2013,2,1,0,0,0,0,0,0,0,0,0,1,0,0
401,2015,7,1,0,0,0,0,0,0,0,0,0,1,0,0
402,2016,1,1,0,0,0,0,0,0,0,0,0,1,0,0
403,2017,3,1,0,0,0,0,0,0,0,0,0,1,0,0
404,2010,12,0,0,0,0,1,0,0,0,0,0,1,0,0
405,2011,6,0,0,0,0,1,0,0,0,0,0,1,0,0
406,2012,3,0,0,0,0,1,0,0,0,0,0,1,0,0
407,2013,2,0,0,0,0,1,0,0,0,0,0,1,0,0
408,2014,6,0,0,0,0,1,0,0,0,0,0,1,0,0
409,2015,10,0,0,0,0,1,0,0,0,0,0,1,0,0
410,2016,11,0,0,0,0,1,0,0,0,0,0,1,0,0
411,2017,22,0,0,0,0,1,0,0,0,0,0,1,0,0
412,2010,183,0,1,0,0,1,0,0,0,0,0,1,0,0
413,2011,210,0,1,0,0,1,0,0,0,0,0,1,0,0
414,2012,139,0,1,0,0,1,0,0,0,0,0,1,0,0
415,2013,127,0,1,0,0,1,0,0,0,0,0,1,0,0
416,2014,138,0,1,0,0,1,0,0,0,0,0,1,0,0
