0,1,2,HC_YEAR,target,modified_model,ori_model
1,21,81,2010,34,28.2,31.4
2,21,81,2010,3,5.8,4.9
0,21,85,2010,3,2.5,3.9
1,21,85,2010,46,45.1,41.5
0,21,89,2010,1,1.7,2.4
1,21,89,2010,71,66,72.3
2,21,89,2010,2,2,2.4
0,21,93,2010,10,9.1,8.8
1,21,93,2010,48,53.9,58.7
0,21,95,2010,12,10.7,23.7
1,21,95,2010,272,210.5,273.6
0,21,97,2010,1,1.2,1.4
1,21,97,2010,60,44.2,50.6
0,21,107,2010,2,2.8,1.9
1,21,107,2010,69,69.6,72.9
2,21,107,2010,1,15,1.1
0,21,109,2010,5,4.5,3
1,21,109,2010,47,58.6,64.4
0,21,111,2010,90,181.9,89.5
1,21,111,2010,1049,1088.2,788.9
2,21,111,2010,154,286.3,170.8
0,21,113,2010,14,11.7,14.6
1,21,113,2010,190,167.8,175.8
0,21,115,2010,5,4.6,3.9
1,21,115,2010,138,124.4,120.5
0,21,117,2010,18,16.9,21.8
1,21,117,2010,265,238.3,214.4
2,21,117,2010,216,218.6,259.8
0,21,119,2010,17,13.9,13.1
1,21,119,2010,148,125.4,128.2
0,21,121,2010,11,9.5,9.5
1,21,121,2010,207,152.3,185.1
0,21,123,2010,2,2.5,1.6
1,21,123,2010,7,7.2,6.4
0,21,125,2010,8,9.2,6.4
1,21,125,2010,213,191,234
0,21,127,2010,1,1.6,1
1,21,127,2010,65,48.7,60.6
0,21,129,2010,6,4.6,9.7
1,21,129,2010,25,50.6,25.4
0,21,131,2010,9,7.7,7
1,21,131,2010,47,44.2,47.1
0,21,133,2010,11,7.5,8.8
1,21,133,2010,151,113.6,118.6
0,21,135,2010,1,1.3,1.1
1,21,135,2010,38,30.7,38.6
0,21,137,2010,1,4.9,1
1,21,137,2010,12,28.9,14.3
0,21,139,2010,1,4,3.9
1,21,139,2010,4,8.7,4.2
0,21,141,2010,3,3.4,4.1
1,21,141,2010,6,6.5,7.1
0,21,145,2010,7,7.8,6.7
1,21,145,2010,44,46.7,40.2
0,21,147,2010,3,3.1,2.3
1,21,147,2010,57,50.3,45.8
2,21,147,2010,2,10.4,1.9
0,21,151,2010,36,28.8,29.2
1,21,151,2010,242,197.5,174.5
2,21,151,2010,2,67,15.7
0,21,153,2010,1,1.3,2.7
1,21,153,2010,41,38.8,42.9
2,21,153,2010,1,3.2,5.1
0,21,155,2010,5,4.2,4
1,21,155,2010,24,22,23.5
2,21,155,2010,1,1.5,1
0,21,161,2010,3,2.8,2.2
1,21,161,2010,139,91.7,105.7
2,21,161,2010,18,17.5,19.2
0,21,163,2010,2,3.2,2
1,21,163,2010,5,10.5,10.8
0,21,165,2010,2,2.1,5.7
1,21,165,2010,13,21.6,10.9
0,21,167,2010,3,3,2.4
1,21,167,2010,20,21.4,45.6
0,21,169,2010,1,1,1
1,21,169,2010,6,13.8,5.8
0,21,171,2010,1,1.8,1
1,21,171,2010,29,28.3,17.5
0,21,173,2010,9,7.5,7.5
1,21,173,2010,157,132.9,168.5
0,21,175,2010,1,3.8,1.2
1,21,175,2010,32,29.7,35.7
0,21,177,2010,3,3.7,2.7
1,21,177,2010,39,39.8,54.5
0,21,179,2010,1,2,1.6
1,21,179,2010,20,21.7,25.5
0,21,181,2010,8,4,4.1
1,21,181,2010,33,31.3,23
0,21,185,2010,2,3,1.5
1,21,185,2010,46,35,44.8
2,21,185,2010,3,6.2,7.8
0,21,187,2010,1,2.1,2.4
1,21,187,2010,13,11.8,11.2
2,21,187,2010,1,1.3,1.3
0,21,189,2010,2,2,5.8
1,21,189,2010,8,19.6,26.6
0,21,191,2010,3,2.3,2.4
1,21,191,2010,32,29.3,28.4
2,21,191,2010,1,5.9,11.7
0,21,193,2010,74,44.9,62.4
1,21,193,2010,256,145.9,277.2
2,21,193,2010,1,52.5,1.2
0,21,195,2010,9,8.7,8.6
1,21,195,2010,182,162.6,205.6
0,21,197,2010,5,4.7,5.2
1,21,197,2010,99,91.4,92.8
0,21,199,2010,16,11.1,7.2
1,21,199,2010,308,249.7,261.8
0,21,201,2010,1,2.2,1.2
1,21,201,2010,5,9,7.3
0,21,203,2010,8,6.3,7.8
1,21,203,2010,97,76.3,97.3
2,21,203,2010,1,8,1
0,21,205,2010,3,3,2.7
1,21,205,2010,185,162.2,176.6
0,21,207,2010,4,3.7,3.4
1,21,207,2010,30,19.3,22
0,21,209,2010,2,6.2,1.8
1,21,209,2010,72,58.1,72
2,21,209,2010,4,16.4,5.5
0,21,211,2010,1,1.8,1
1,21,211,2010,12,20.5,11.8
0,21,215,2010,1,1.2,1
1,21,215,2010,2,4.7,4.5
0,21,217,2010,1,3.2,1
1,21,217,2010,52,57.2,42.1
0,21,221,2010,1,1.7,1
1,21,221,2010,5,9.1,5.3
0,21,227,2010,9,7.4,6.2
1,21,227,2010,48,49.3,46.9
2,21,227,2010,4,9,3.1
0,21,229,2010,2,1.9,1.7
1,21,229,2010,14,11,11.8
0,21,231,2010,6,5.6,5.7
1,21,231,2010,67,54.4,55.7
0,21,233,2010,1,1.3,1
1,21,233,2010,11,10.4,9.9
2,21,233,2010,2,1.8,1.5
0,21,235,2010,18,13.4,12.8
1,21,235,2010,292,250.6,203.7
2,21,235,2010,3,4.9,2.1
0,21,237,2010,1,1.2,1
1,21,237,2010,17,19,18.7
1,21,7,2010,1,3,1
1,21,23,2010,9,9.6,13
2,21,23,2010,1,4.2,3.4
1,21,27,2010,13,9.6,11.4
1,21,33,2010,11,11.2,10.6
1,21,35,2010,4,5,4.6
1,21,53,2010,23,22.1,18
1,21,57,2010,7,6.4,8.2
1,21,63,2010,85,48.6,54.8
2,21,63,2010,1,2.5,1.1
1,21,65,2010,39,40.6,33.2
1,21,83,2010,14,26.9,23.3
1,21,87,2010,8,7,7.4
1,21,99,2010,2,12.7,3.8
1,21,101,2010,8,11.6,7.5
1,21,103,2010,10,17.5,9.5
1,21,143,2010,13,11.3,11.8
2,21,143,2010,2,3.6,1.6
1,21,149,2010,8,16.7,7.9
1,21,157,2010,11,14.5,11.8
1,21,159,2010,60,40.9,57.7
2,21,159,2010,4,3.8,3.6
1,21,183,2010,43,44.7,35.3
1,21,213,2010,13,15.9,16.6
1,21,219,2010,4,5.1,5
1,21,223,2010,7,6.4,6
1,21,239,2010,53,43,41.2
0,21,1,2011,1,1.3,1.9
1,21,1,2011,18,16.4,15.8
0,21,5,2011,7,6.2,5.4
1,21,5,2011,33,26.6,24.2
0,21,9,2011,6,4.9,5.5
1,21,9,2011,93,83.5,70
2,21,9,2011,3,5.1,2.9
0,21,11,2011,4,4,3.6
1,21,11,2011,63,53.1,85.1
0,21,13,2011,8,8.2,7.8
1,21,13,2011,117,143.8,158.2
0,21,15,2011,10,8.3,9
1,21,15,2011,72,72.7,76.7
2,21,15,2011,55,73.8,84.9
0,21,17,2011,2,2.4,1.8
1,21,17,2011,25,22.3,31.1
2,21,17,2011,1,4.8,2.2
0,21,19,2011,7,6.4,6.4
1,21,19,2011,307,273.1,276.4
2,21,19,2011,40,29.9,24.5
0,21,21,2011,1,1,1.8
1,21,21,2011,37,33.4,38.2
2,21,21,2011,1,11.3,1.1
0,21,23,2011,1,1.1,1.2
1,21,23,2011,20,15.5,16.5
2,21,23,2011,3,4.3,6
0,21,25,2011,6,5.9,8.9
1,21,25,2011,8,20.7,42.5
0,21,27,2011,1,1.3,1.1
1,21,27,2011,3,3,7
0,21,29,2011,12,12.4,9.5
1,21,29,2011,128,114.5,121.6
2,21,29,2011,4,21.9,15.1
0,21,33,2011,1,1.4,1.1
1,21,33,2011,7,10.2,10.2
0,21,35,2011,1,1.8,1.6
1,21,35,2011,23,23.5,15.4
0,21,37,2011,22,30,19.4
1,21,37,2011,136,127.9,120.5
2,21,37,2011,156,149,181.4
0,21,41,2011,3,2.9,3.4
1,21,41,2011,64,49.2,42
2,21,41,2011,23,29,18.8
0,21,43,2011,2,2.4,2.4
1,21,43,2011,147,165.2,184.7
0,21,45,2011,3,2.5,2.6
1,21,45,2011,21,23.8,34.2
2,21,45,2011,2,1.9,15.2
0,21,49,2011,2,3.4,4.9
1,21,49,2011,169,107,129.3
2,21,49,2011,6,6.5,33
0,21,51,2011,7,6.7,6.2
1,21,51,2011,156,106.3,126.6
0,21,59,2011,3,2.9,2
1,21,59,2011,54,58.7,53.3
0,21,61,2011,2,1.9,1.7
1,21,61,2011,26,17.7,24.3
0,21,65,2011,1,1.7,1
1,21,65,2011,10,15.7,10
0,21,67,2011,33,32.9,29.2
1,21,67,2011,399,362.4,323.8
2,21,67,2011,23,75.6,148.2
0,21,69,2011,2,2.7,2.2
1,21,69,2011,39,36.1,40
0,21,71,2011,7,6.6,7.6
1,21,71,2011,143,130.5,136.6
2,21,71,2011,3,3,2.4
0,21,73,2011,6,4.5,5.3
1,21,73,2011,104,85.6,91.7
2,21,73,2011,3,29.3,10.9
0,21,77,2011,2,1.7,2.1
1,21,77,2011,9,11.6,8.6
0,21,81,2011,1,1.3,1.9
1,21,81,2011,27,32.2,30
2,21,81,2011,4,8.6,5.2
0,21,83,2011,5,4.2,4.4
1,21,83,2011,45,37.8,32.3
0,21,85,2011,3,2.4,3.9
1,21,85,2011,31,43.4,34
0,21,89,2011,1,2.1,1.1
1,21,89,2011,65,95.7,71.1
2,21,89,2011,1,39.3,2
0,21,93,2011,13,10.4,10.6
1,21,93,2011,106,94.5,93.5
2,21,93,2011,2,15.9,2
0,21,95,2011,7,6.2,21.7
1,21,95,2011,296,258.2,278.4
0,21,99,2011,1,1.2,1.4
1,21,99,2011,15,12.1,13.4
2,21,99,2011,1,2.1,1.4
0,21,101,2011,1,5.2,1.1
1,21,101,2011,8,12.8,6.8
2,21,101,2011,1,5.4,2.2
0,21,107,2011,2,2.9,1.7
1,21,107,2011,72,77.5,71.4
2,21,107,2011,2,2.2,1.5
0,21,109,2011,2,2.3,2
1,21,109,2011,105,75.3,85.8
0,21,111,2011,97,91.5,93
1,21,111,2011,1441,1230.4,1242.3
2,21,111,2011,238,328.3,530.6
0,21,113,2011,4,6.5,10.6
1,21,113,2011,222,168.2,182.2
0,21,115,2011,4,4.6,3.2
1,21,115,2011,103,103.9,110
0,21,117,2011,26,22.8,22.6
1,21,117,2011,179,179,180
2,21,117,2011,242,235.8,262.4
0,21,119,2011,2,2.8,4.1
1,21,119,2011,49,65.8,78.7
0,21,121,2011,2,2.4,4
1,21,121,2011,115,91.2,129.1
2,21,121,2011,1,13.5,2.3
0,21,123,2011,1,1.4,1.2
1,21,123,2011,3,4.1,4.8
0,21,125,2011,5,7,7.1
1,21,125,2011,318,257.6,276
2,21,125,2011,2,65.4,2
0,21,127,2011,1,2.1,1.2
1,21,127,2011,21,42.4,34.2
0,21,129,2011,11,6.9,9
1,21,129,2011,89,69.2,69.9
0,21,131,2011,3,3.4,5.4
1,21,131,2011,33,35.3,38.7
0,21,133,2011,6,5.6,7.1
1,21,133,2011,140,142.2,114.2
0,21,135,2011,2,1.9,1.6
1,21,135,2011,41,32.5,40.1
0,21,137,2011,10,8,4.8
1,21,137,2011,31,59.1,21.8
2,21,137,2011,2,1.9,2.1
0,21,141,2011,2,2.5,2
1,21,141,2011,17,20.1,10.9
0,21,145,2011,11,8.9,7.5
1,21,145,2011,41,41.1,39.8
2,21,145,2011,5,15,4.4
0,21,151,2011,13,17.8,20.7
1,21,151,2011,142,104.4,134.2
2,21,151,2011,3,3,16
0,21,153,2011,3,2.8,4.2
1,21,153,2011,56,45.5,51.9
0,21,155,2011,4,3.6,3.7
1,21,155,2011,18,18.2,18.7
2,21,155,2011,1,1.8,1
0,21,157,2011,2,2.3,2.7
1,21,157,2011,14,14.6,13
0,21,161,2011,1,1.2,1.9
1,21,161,2011,81,68.9,82.1
2,21,161,2011,11,14.7,14.3
0,21,167,2011,2,1.9,3.2
1,21,167,2011,82,71,51.8
0,21,173,2011,7,7.6,7.1
1,21,173,2011,182,167.1,178.5
2,21,173,2011,12,27,13.6
0,21,175,2011,2,1.8,1.8
1,21,175,2011,63,64.7,51
0,21,177,2011,4,5.3,3.3
1,21,177,2011,38,45.3,53.9
2,21,177,2011,3,2.4,2.6
0,21,179,2011,3,3.4,3
1,21,179,2011,31,62.8,29.9
0,21,181,2011,2,2.5,2.5
1,21,181,2011,16,21.1,17.9
0,21,185,2011,2,3.4,1.5
1,21,185,2011,43,30.3,43.6
2,21,185,2011,9,17,9.6
0,21,189,2011,14,14,7.3
1,21,189,2011,55,46.1,39.6
0,21,191,2011,1,1.2,1.7
1,21,191,2011,18,17.9,18.6
2,21,191,2011,19,15.3,18.9
0,21,193,2011,89,62.2,67.1
1,21,193,2011,345,201.1,330.6
0,21,195,2011,9,9,8.6
1,21,195,2011,241,219.3,229.2
0,21,197,2011,4,4.2,5
1,21,197,2011,88,64,88.4
0,21,203,2011,6,6,6.4
1,21,203,2011,121,103.6,104.5
2,21,203,2011,1,6.6,1
0,21,205,2011,4,3.7,3.6
1,21,205,2011,143,113.6,151.4
2,21,205,2011,1,49.2,2.3
0,21,213,2011,4,3.7,3.1
1,21,213,2011,22,20.4,19.5
0,21,217,2011,1,1.2,1.6
1,21,217,2011,50,47.4,41.1
0,21,219,2011,2,1.9,2.1
1,21,219,2011,6,8.4,4.9
0,21,227,2011,5,7,5
1,21,227,2011,61,53.9,52.5
0,21,231,2011,8,7.1,7.2
1,21,231,2011,47,45.8,51.7
2,21,231,2011,2,2.4,1.7
0,21,235,2011,6,6.5,10.9
1,21,235,2011,136,141.4,156.5
2,21,235,2011,1,16,1.9
0,21,237,2011,1,1,1.1
1,21,237,2011,34,24,25.5
0,21,239,2011,3,3,3.1
1,21,239,2011,13,22.1,16.9
2,21,239,2011,1,6.2,1.8
1,21,3,2011,17,18.6,26.6
1,21,7,2011,1,1.2,1
1,21,31,2011,1,3.4,4.8
1,21,47,2011,53,48.2,45.5
2,21,47,2011,2,16.3,1.6
1,21,53,2011,5,23,6.8
1,21,55,2011,7,6.5,7.6
1,21,57,2011,8,9.2,7
1,21,63,2011,45,37.8,38.2
1,21,75,2011,11,10.1,12.5
1,21,79,2011,30,24.2,28.5
1,21,87,2011,7,7.1,7
1,21,97,2011,19,24.9,33.8
2,21,97,2011,1,19.7,4.1
1,21,103,2011,5,6.5,7.3
1,21,105,2011,2,4.8,2.1
1,21,139,2011,3,7.7,3.3
1,21,143,2011,5,6.6,6.6
1,21,147,2011,36,38.7,39.9
2,21,147,2011,1,7.4,1.8
1,21,149,2011,4,5.3,5.7
1,21,159,2011,37,34.6,41.6
2,21,159,2011,2,3.1,3
1,21,163,2011,30,26.7,17.3
1,21,165,2011,16,25.5,13.7
1,21,169,2011,5,13.8,5.1
1,21,171,2011,8,24.5,11.2
1,21,183,2011,6,26.4,13.1
1,21,187,2011,7,8.7,8.8
2,21,187,2011,2,1.7,1.7
1,21,199,2011,136,136.1,145.1
2,21,199,2011,3,6.9,7.2
1,21,201,2011,11,12.7,10.4
1,21,207,2011,11,12.1,18.2
1,21,209,2011,34,48.9,49.2
1,21,211,2011,15,20.6,9.2
1,21,215,2011,6,6.6,6.7
1,21,223,2011,3,4.2,4.3
1,21,225,2011,5,20.9,5.3
1,21,229,2011,12,11.5,11.5
1,21,233,2011,11,10.5,10.6
0,21,1,2012,2,2.2,1.9
1,21,1,2012,22,21.9,19.1
2,21,1,2012,1,4.2,1.1
0,21,3,2012,5,4.1,3.7
1,21,3,2012,86,71.1,66.8
0,21,9,2012,4,6.1,3.9
1,21,9,2012,70,64.5,63.6
0,21,11,2012,3,2.8,2.9
1,21,11,2012,48,35.3,59.3
2,21,11,2012,3,9.5,12.7
0,21,13,2012,6,7.2,5.6
1,21,13,2012,158,151.6,174.6
0,21,15,2012,3,3.5,5.1
1,21,15,2012,69,80.5,71
2,21,15,2012,160,131.9,156.4
0,21,19,2012,7,6.4,7
1,21,19,2012,177,145.1,223.4
2,21,19,2012,60,54.1,44.7
0,21,21,2012,4,6.3,2.6
1,21,21,2012,39,45.4,37.2
0,21,23,2012,2,1.5,1.8
1,21,23,2012,15,13.7,13.6
2,21,23,2012,21,18.7,19
0,21,25,2012,13,10.2,9.9
1,21,25,2012,55,40.3,50.1
2,21,25,2012,1,2.7,2
0,21,27,2012,1,1.3,1.4
1,21,27,2012,8,7.5,7.5
0,21,29,2012,1,5.7,3.6
1,21,29,2012,86,73.8,102.8
2,21,29,2012,34,36.5,23.4
0,21,37,2012,14,14.8,13.6
1,21,37,2012,119,114,113.9
2,21,37,2012,318,255.3,253.2
0,21,41,2012,2,3.7,2.1
1,21,41,2012,58,50,52.9
2,21,41,2012,62,57.2,57.4
0,21,43,2012,3,2.9,2.7
1,21,43,2012,172,136,165.8
2,21,43,2012,10,31,7.2
0,21,45,2012,2,1.9,1.9
1,21,45,2012,26,25.5,22.4
0,21,49,2012,2,2.6,1.9
1,21,49,2012,50,40.3,65.5
2,21,49,2012,31,27.2,24.6
0,21,53,2012,2,1.9,1.9
1,21,53,2012,6,10.3,7.3
0,21,63,2012,2,1.9,1.7
1,21,63,2012,9,12.5,9.1
0,21,65,2012,1,1.6,1.9
1,21,65,2012,44,38.4,33.8
0,21,67,2012,27,29.3,25.6
1,21,67,2012,408,353.6,338.9
2,21,67,2012,138,175.8,126.5
0,21,69,2012,9,7.2,6.1
1,21,69,2012,42,36.1,41.1
2,21,69,2012,9,13.1,17
0,21,71,2012,10,13.2,8.5
1,21,71,2012,65,89.8,71
2,21,71,2012,8,5.1,6.3
0,21,73,2012,4,4.8,4.6
1,21,73,2012,99,83.6,93
2,21,73,2012,3,33.7,9.7
0,21,81,2012,1,2.3,1.1
1,21,81,2012,43,46,35.7
2,21,81,2012,18,23,16
0,21,83,2012,1,1.6,3
1,21,83,2012,36,31.8,33.4
2,21,83,2012,2,6,2.1
0,21,87,2012,1,1.3,1
1,21,87,2012,10,10.1,10.5
0,21,89,2012,1,3.6,1
1,21,89,2012,99,92.2,86.3
2,21,89,2012,10,10.5,7.4
0,21,93,2012,6,6.2,7.4
1,21,93,2012,97,78.8,93.9
2,21,93,2012,4,3.8,5.1
0,21,95,2012,51,24.8,37.8
1,21,95,2012,421,336.2,342.5
2,21,95,2012,1,1,1.2
0,21,97,2012,3,3.4,2.8
1,21,97,2012,45,40.7,37.6
2,21,97,2012,8,10.4,5.9
0,21,99,2012,2,2.3,1.9
1,21,99,2012,12,9.2,12
0,21,103,2012,4,2.9,3
1,21,103,2012,7,8.7,7.9
2,21,103,2012,2,9.9,2.2
0,21,107,2012,4,3.5,2.2
1,21,107,2012,66,60.8,67.8
0,21,111,2012,106,94.7,97.5
1,21,111,2012,994,1130.4,1159.3
2,21,111,2012,758,919.8,722.3
0,21,113,2012,30,27.8,19.6
1,21,113,2012,115,107.5,110.2
2,21,113,2012,11,36.3,33.6
0,21,115,2012,1,3,1.7
1,21,115,2012,66,75.6,73.4
0,21,117,2012,17,18.1,18.3
1,21,117,2012,132,136.5,140.6
2,21,117,2012,357,384.5,334
0,21,119,2012,9,7.6,6.4
1,21,119,2012,71,83.6,74.3
0,21,121,2012,7,6.8,5.7
1,21,121,2012,152,148.8,138.9
2,21,121,2012,2,13.3,3.3
0,21,125,2012,11,11.9,10.2
1,21,125,2012,164,131.8,210.2
2,21,125,2012,5,20.9,3.6
0,21,129,2012,6,5.1,6.8
1,21,129,2012,57,38.1,66.4
2,21,129,2012,2,2.1,2.3
0,21,131,2012,4,4.5,3.6
1,21,131,2012,48,45.2,39.2
0,21,133,2012,2,2.9,3.9
1,21,133,2012,51,47.4,67.5
0,21,137,2012,1,1.2,2.1
1,21,137,2012,14,21.1,18.8
2,21,137,2012,4,8.9,3
0,21,141,2012,1,1.7,1.3
1,21,141,2012,20,32.3,17.4
0,21,143,2012,3,3,2.6
1,21,143,2012,8,10.3,7.7
0,21,145,2012,6,7,7
1,21,145,2012,55,53.6,44.5
2,21,145,2012,19,33.7,9.3
0,21,151,2012,15,17.9,13.6
1,21,151,2012,302,226.6,265.6
2,21,151,2012,9,111.6,71.9
0,21,155,2012,1,2,1.9
1,21,155,2012,25,19.7,35.7
0,21,157,2012,4,3.3,3.2
1,21,157,2012,13,14.9,11.8
0,21,161,2012,2,2.1,1.7
1,21,161,2012,54,44.4,49.3
2,21,161,2012,37,28.8,23
0,21,163,2012,3,2.4,3
1,21,163,2012,53,46.2,41.6
2,21,163,2012,4,25.6,4.3
0,21,167,2012,1,1.9,1.2
1,21,167,2012,24,22.3,27.7
2,21,167,2012,3,5.4,2.8
0,21,173,2012,8,8,7.3
1,21,173,2012,197,186.6,191.5
2,21,173,2012,2,3.3,8.7
0,21,175,2012,3,2.5,2.1
1,21,175,2012,10,13.9,17.2
0,21,177,2012,10,7.5,6.3
1,21,177,2012,29,43.1,48.4
0,21,179,2012,3,3.4,2.8
1,21,179,2012,54,49.8,43.7
2,21,179,2012,11,24.5,12.8
0,21,183,2012,3,4.6,2.7
1,21,183,2012,40,31.3,37.6
0,21,185,2012,1,1.1,1.3
1,21,185,2012,18,20.5,47.8
2,21,185,2012,16,21.4,14.1
0,21,189,2012,4,4,2.8
1,21,189,2012,7,5.6,7
0,21,191,2012,3,2.8,3
1,21,191,2012,10,15.3,15.4
2,21,191,2012,36,26.9,27.5
0,21,193,2012,62,56,63.9
1,21,193,2012,290,221.9,297.4
2,21,193,2012,1,65.7,1
0,21,195,2012,5,5.9,6.7
1,21,195,2012,196,176.8,193.9
0,21,197,2012,9,7,7.9
1,21,197,2012,61,64.9,79.2
0,21,199,2012,3,5.5,3.5
1,21,199,2012,143,121,116.8
2,21,199,2012,19,30.3,16.2
0,21,201,2012,2,3.5,1.9
1,21,201,2012,6,5.1,7
0,21,203,2012,5,3.9,4.3
1,21,203,2012,64,71.6,73
0,21,205,2012,5,4.4,3.9
1,21,205,2012,111,92.5,138.6
2,21,205,2012,13,27.4,7.2
0,21,207,2012,1,2,2.2
1,21,207,2012,26,24.7,20
0,21,209,2012,3,3,2.6
1,21,209,2012,110,101.3,79.6
2,21,209,2012,22,22.9,18
0,21,211,2012,1,1.1,1
1,21,211,2012,6,6.9,6.2
2,21,211,2012,3,5.7,6.6
0,21,213,2012,1,1.8,1.6
1,21,213,2012,33,33,28.8
0,21,217,2012,2,3.7,1.5
1,21,217,2012,27,24.3,28.6
2,21,217,2012,6,12.2,4.2
0,21,221,2012,1,1.9,1.2
1,21,221,2012,3,4.5,5.4
0,21,227,2012,6,7.6,5
1,21,227,2012,59,55.8,55.8
2,21,227,2012,1,7.1,1.2
0,21,231,2012,5,5.1,5.3
1,21,231,2012,36,25.2,42.4
2,21,231,2012,2,2,2
0,21,233,2012,1,1.2,1.2
1,21,233,2012,5,6.8,8.5
0,21,235,2012,7,9.7,7.8
1,21,235,2012,318,330.2,232.2
0,21,237,2012,1,1.1,1
1,21,237,2012,26,19.8,26.6
0,21,239,2012,3,3.2,2.6
1,21,239,2012,67,41.8,44.1
2,21,239,2012,6,17.3,4.4
1,21,5,2012,6,11.5,9.1
2,21,5,2012,15,14.9,11.3
1,21,7,2012,1,3.6,1.1
1,21,17,2012,45,34,36.5
2,21,17,2012,5,5.1,4.3
1,21,31,2012,12,9.5,7
1,21,33,2012,39,34.1,27.3
1,21,35,2012,18,22.7,20.8
1,21,39,2012,2,1.9,55.2
1,21,47,2012,24,25.7,27
2,21,47,2012,1,4.1,1.4
1,21,51,2012,93,79,110.5
1,21,55,2012,9,9.8,8.7
1,21,57,2012,1,2.4,4.3
1,21,59,2012,39,48.8,44.3
2,21,59,2012,3,8,4.5
1,21,61,2012,14,13.8,16.3
1,21,75,2012,16,13.2,15.5
1,21,77,2012,21,18.4,17.3
2,21,77,2012,6,7.6,6.5
1,21,79,2012,25,31.7,26
1,21,85,2012,31,30.5,31
2,21,85,2012,2,6.7,6.8
1,21,101,2012,3,8.4,3.5
2,21,101,2012,3,5.6,3.2
1,21,105,2012,1,2.9,2.6
1,21,109,2012,60,46.9,78.1
1,21,123,2012,1,3.4,2.9
2,21,123,2012,1,1.3,1.1
1,21,127,2012,22,19.7,26.9
1,21,135,2012,27,22.5,29.9
2,21,135,2012,3,4.2,3.2
1,21,139,2012,6,7,6.7
1,21,147,2012,42,43.7,37.9
2,21,147,2012,13,8.7,7.6
1,21,153,2012,30,35.6,40.4
1,21,159,2012,17,20.3,21.3
2,21,159,2012,10,8.5,5.3
1,21,165,2012,9,8.1,9.4
1,21,169,2012,3,3.7,3.7
1,21,171,2012,1,1.4,3.9
1,21,181,2012,18,22.8,17.6
1,21,187,2012,14,7.3,12.3
2,21,187,2012,2,6.7,2
1,21,215,2012,9,7.8,8.7
2,21,215,2012,2,2.7,2
1,21,219,2012,1,8.5,2.9
1,21,223,2012,9,6.3,8.4
2,21,223,2012,1,2.2,1.7
1,21,225,2012,4,4.5,5.4
1,21,229,2012,1,4.2,3.4
0,21,5,2013,1,2,2.2
1,21,5,2013,6,9.9,6.6
2,21,5,2013,18,17.8,14.4
0,21,9,2013,3,3.4,3
1,21,9,2013,58,63.2,59.6
2,21,9,2013,2,5.9,2.2
