0,1,2,HC_YEAR,target
0,21,43,2010,3
1,21,43,2010,235
2,21,43,2010,1
0,21,43,2011,2
1,21,43,2011,147
0,21,43,2012,3
1,21,43,2012,172
2,21,43,2012,10
0,21,43,2013,2
1,21,43,2013,72
2,21,43,2013,24
0,21,43,2014,4
1,21,43,2014,91
2,21,43,2014,51
0,21,43,2015,5
1,21,43,2015,65
2,21,43,2015,13
0,21,43,2016,9
1,21,43,2016,34
2,21,43,2016,44
0,21,45,2010,3
1,21,45,2010,54
0,21,45,2011,3
1,21,45,2011,21
2,21,45,2011,2
0,21,45,2012,2
1,21,45,2012,26
0,21,45,2013,4
1,21,45,2013,24
0,21,45,2015,1
1,21,45,2015,32
0,21,45,2016,1
1,21,45,2016,18
2,21,45,2016,2
0,21,47,2010,1
1,21,47,2010,49
0,21,47,2014,1
1,21,47,2014,84
2,21,47,2014,7
0,21,47,2016,8
1,21,47,2016,35
2,21,47,2016,2
0,21,49,2010,8
1,21,49,2010,151
0,21,49,2011,2
1,21,49,2011,169
2,21,49,2011,6
0,21,49,2012,2
1,21,49,2012,50
2,21,49,2012,31
0,21,49,2013,1
1,21,49,2013,77
2,21,49,2013,50
0,21,49,2014,3
1,21,49,2014,111
2,21,49,2014,42
0,21,49,2015,9
1,21,49,2015,65
2,21,49,2015,35
0,21,49,2016,11
1,21,49,2016,78
2,21,49,2016,30
0,21,51,2010,5
1,21,51,2010,79
0,21,51,2011,7
1,21,51,2011,156
0,21,51,2013,4
1,21,51,2013,109
2,21,51,2013,2
0,21,51,2014,6
1,21,51,2014,70
2,21,51,2014,2
0,21,51,2015,5
1,21,51,2015,61
0,21,51,2016,1
1,21,51,2016,60
2,21,51,2016,1
0,21,53,2012,2
1,21,53,2012,6
0,21,53,2013,1
1,21,53,2013,10
0,21,53,2014,4
1,21,53,2014,25
0,21,53,2015,2
1,21,53,2015,20
0,21,55,2010,2
1,21,55,2010,10
0,21,55,2015,1
1,21,55,2015,4
0,21,57,2014,1
1,21,57,2014,13
0,21,57,2015,2
1,21,57,2015,5
2,21,57,2015,3
0,21,57,2016,4
1,21,57,2016,20
2,21,57,2016,7
0,21,59,2010,1
1,21,59,2010,37
0,21,59,2011,3
1,21,59,2011,54
0,21,59,2013,1
1,21,59,2013,47
2,21,59,2013,8
0,21,59,2014,3
1,21,59,2014,51
2,21,59,2014,15
0,21,59,2015,2
1,21,59,2015,43
2,21,59,2015,11
0,21,59,2016,5
1,21,59,2016,35
2,21,59,2016,10
0,21,61,2010,1
1,21,61,2010,9
0,21,61,2011,2
1,21,61,2011,26
0,21,61,2013,2
1,21,61,2013,12
0,21,61,2014,1
1,21,61,2014,3
0,21,61,2015,1
1,21,61,2015,9
0,21,61,2016,3
1,21,61,2016,8
0,21,63,2012,2
1,21,63,2012,9
0,21,65,2011,1
1,21,65,2011,10
0,21,65,2012,1
1,21,65,2012,44
0,21,65,2014,3
1,21,65,2014,57
2,21,65,2014,3
0,21,65,2016,5
1,21,65,2016,32
2,21,65,2016,16
0,21,67,2010,39
1,21,67,2010,476
2,21,67,2010,32
0,21,67,2011,33
1,21,67,2011,399
2,21,67,2011,23
0,21,67,2012,27
1,21,67,2012,408
2,21,67,2012,138
0,21,67,2013,26
1,21,67,2013,406
2,21,67,2013,466
0,21,67,2014,46
1,21,67,2014,208
2,21,67,2014,321
0,21,67,2015,101
1,21,67,2015,192
2,21,67,2015,433
0,21,67,2016,177
1,21,67,2016,81
2,21,67,2016,351
0,21,69,2010,3
1,21,69,2010,46
0,21,69,2011,2
1,21,69,2011,39
0,21,69,2012,9
1,21,69,2012,42
2,21,69,2012,9
0,21,69,2013,1
1,21,69,2013,12
2,21,69,2013,3
0,21,69,2015,5
1,21,69,2015,29
2,21,69,2015,3
0,21,71,2010,9
1,21,71,2010,167
2,21,71,2010,1
0,21,71,2011,7
1,21,71,2011,143
2,21,71,2011,3
0,21,71,2012,10
1,21,71,2012,65
2,21,71,2012,8
0,21,71,2013,15
1,21,71,2013,64
2,21,71,2013,4
0,21,71,2014,23
1,21,71,2014,93
2,21,71,2014,4
0,21,71,2015,16
1,21,71,2015,156
2,21,71,2015,2
0,21,71,2016,19
1,21,71,2016,154
0,21,73,2010,6
1,21,73,2010,87
2,21,73,2010,15
0,21,73,2011,6
1,21,73,2011,104
2,21,73,2011,3
0,21,73,2012,4
1,21,73,2012,99
2,21,73,2012,3
0,21,73,2013,6
1,21,73,2013,117
2,21,73,2013,58
0,21,73,2014,1
1,21,73,2014,38
2,21,73,2014,95
0,21,73,2015,5
1,21,73,2015,51
2,21,73,2015,62
0,21,73,2016,20
1,21,73,2016,51
2,21,73,2016,97
0,21,75,2010,3
1,21,75,2010,21
0,21,77,2010,1
1,21,77,2010,7
0,21,77,2011,2
1,21,77,2011,9
0,21,77,2014,1
1,21,77,2014,8
2,21,77,2014,24
0,21,79,2010,2
1,21,79,2010,25
0,21,79,2014,2
1,21,79,2014,14
2,21,79,2014,4
0,21,79,2016,7
1,21,79,2016,2
2,21,79,2016,13
0,21,81,2010,2
1,21,81,2010,34
2,21,81,2010,3
0,21,81,2011,1
1,21,81,2011,27
2,21,81,2011,4
0,21,81,2012,1
1,21,81,2012,43
2,21,81,2012,18
0,21,81,2013,1
1,21,81,2013,16
2,21,81,2013,23
0,21,81,2014,2
1,21,81,2014,39
2,21,81,2014,56
0,21,81,2015,14
1,21,81,2015,23
2,21,81,2015,50
0,21,81,2016,25
1,21,81,2016,28
2,21,81,2016,45
0,21,83,2011,5
1,21,83,2011,45
0,21,83,2012,1
1,21,83,2012,36
2,21,83,2012,2
0,21,83,2013,3
1,21,83,2013,35
2,21,83,2013,1
0,21,83,2014,2
1,21,83,2014,41
2,21,83,2014,8
0,21,83,2015,2
1,21,83,2015,39
0,21,83,2016,5
1,21,83,2016,29
2,21,83,2016,1
0,21,85,2010,3
1,21,85,2010,46
0,21,85,2011,3
1,21,85,2011,31
0,21,85,2016,4
1,21,85,2016,7
2,21,85,2016,4
0,21,87,2012,1
1,21,87,2012,10
0,21,89,2010,1
1,21,89,2010,71
2,21,89,2010,2
0,21,89,2011,1
1,21,89,2011,65
2,21,89,2011,1
0,21,89,2012,1
1,21,89,2012,99
2,21,89,2012,10
0,21,89,2014,4
1,21,89,2014,52
2,21,89,2014,7
0,21,89,2015,3
1,21,89,2015,50
2,21,89,2015,19
0,21,89,2016,9
1,21,89,2016,41
2,21,89,2016,21
0,21,93,2010,10
1,21,93,2010,48
0,21,93,2011,13
1,21,93,2011,106
2,21,93,2011,2
0,21,93,2012,6
1,21,93,2012,97
2,21,93,2012,4
0,21,93,2013,1
1,21,93,2013,43
2,21,93,2013,26
0,21,93,2014,8
1,21,93,2014,62
2,21,93,2014,33
0,21,93,2015,2
1,21,93,2015,43
2,21,93,2015,29
0,21,93,2016,5
1,21,93,2016,30
2,21,93,2016,32
0,21,95,2010,12
1,21,95,2010,272
0,21,95,2011,7
1,21,95,2011,296
0,21,95,2012,51
1,21,95,2012,421
2,21,95,2012,1
0,21,95,2013,11
1,21,95,2013,216
2,21,95,2013,1
0,21,95,2014,10
1,21,95,2014,252
2,21,95,2014,3
0,21,95,2015,1
1,21,95,2015,187
2,21,95,2015,1
0,21,95,2016,10
1,21,95,2016,155
2,21,95,2016,1
0,21,97,2010,1
1,21,97,2010,60
0,21,97,2012,3
1,21,97,2012,45
2,21,97,2012,8
0,21,97,2013,3
1,21,97,2013,62
2,21,97,2013,32
0,21,97,2014,5
1,21,97,2014,27
2,21,97,2014,71
0,21,97,2015,22
1,21,97,2015,19
2,21,97,2015,96
0,21,97,2016,25
1,21,97,2016,12
2,21,97,2016,77
0,21,99,2011,1
1,21,99,2011,15
2,21,99,2011,1
0,21,99,2012,2
1,21,99,2012,12
0,21,99,2014,1
1,21,99,2014,9
2,21,99,2014,1
0,21,101,2011,1
1,21,101,2011,8
2,21,101,2011,1
0,21,101,2015,2
1,21,101,2015,10
2,21,101,2015,15
0,21,101,2016,5
1,21,101,2016,19
2,21,101,2016,26
0,21,103,2012,4
1,21,103,2012,7
2,21,103,2012,2
0,21,103,2015,3
1,21,103,2015,10
2,21,103,2015,23
0,21,103,2016,1
1,21,103,2016,11
2,21,103,2016,13
0,21,107,2010,2
1,21,107,2010,69
2,21,107,2010,1
0,21,107,2011,2
1,21,107,2011,72
2,21,107,2011,2
0,21,107,2012,4
1,21,107,2012,66
0,21,107,2013,3
1,21,107,2013,92
0,21,107,2015,4
1,21,107,2015,51
2,21,107,2015,1
0,21,109,2010,5
1,21,109,2010,47
0,21,109,2011,2
1,21,109,2011,105
0,21,109,2014,2
1,21,109,2014,40
2,21,109,2014,1
0,21,109,2015,3
1,21,109,2015,8
0,21,109,2016,1
1,21,109,2016,31
2,21,109,2016,2
0,21,111,2010,90
1,21,111,2010,1049
2,21,111,2010,154
0,21,111,2011,97
1,21,111,2011,1441
2,21,111,2011,238
0,21,111,2012,106
1,21,111,2012,994
2,21,111,2012,758
0,21,111,2013,57
1,21,111,2013,703
2,21,111,2013,1130
0,21,111,2014,62
1,21,111,2014,490
2,21,111,2014,1358
0,21,111,2015,72
1,21,111,2015,288
2,21,111,2015,1233
0,21,111,2016,294
1,21,111,2016,241
2,21,111,2016,1000
0,21,113,2010,14
1,21,113,2010,190
0,21,113,2011,4
1,21,113,2011,222
0,21,113,2012,30
1,21,113,2012,115
2,21,113,2012,11
0,21,113,2013,5
1,21,113,2013,80
2,21,113,2013,72
0,21,113,2014,18
1,21,113,2014,144
2,21,113,2014,99
0,21,113,2015,6
1,21,113,2015,51
2,21,113,2015,64
0,21,113,2016,20
1,21,113,2016,60
2,21,113,2016,58
0,21,115,2010,5
1,21,115,2010,138
0,21,115,2011,4
1,21,115,2011,103
0,21,115,2012,1
1,21,115,2012,66
0,21,115,2014,4
1,21,115,2014,69
2,21,115,2014,1
0,21,115,2015,1
1,21,115,2015,89
2,21,115,2015,2
0,21,115,2016,1
1,21,115,2016,19
0,21,117,2010,18
1,21,117,2010,265
2,21,117,2010,216
0,21,117,2011,26
1,21,117,2011,179
2,21,117,2011,242
0,21,117,2012,17
1,21,117,2012,132
2,21,117,2012,357
0,21,117,2013,7
1,21,117,2013,145
2,21,117,2013,552
0,21,117,2014,41
1,21,117,2014,124
2,21,117,2014,530
0,21,117,2015,103
1,21,117,2015,100
2,21,117,2015,416
0,21,117,2016,150
1,21,117,2016,93
2,21,117,2016,364
0,21,119,2010,17
1,21,119,2010,148
0,21,119,2011,2
1,21,119,2011,49
0,21,119,2012,9
1,21,119,2012,71
0,21,119,2013,6
1,21,119,2013,57
0,21,119,2014,2
1,21,119,2014,24
0,21,119,2016,9
1,21,119,2016,93
2,21,119,2016,1
0,21,121,2010,11
1,21,121,2010,207
0,21,121,2011,2
1,21,121,2011,115
2,21,121,2011,1
0,21,121,2012,7
1,21,121,2012,152
2,21,121,2012,2
0,21,121,2013,4
1,21,121,2013,138
2,21,121,2013,1
0,21,121,2014,6
1,21,121,2014,134
0,21,121,2015,4
1,21,121,2015,206
2,21,121,2015,3
0,21,123,2010,2
1,21,123,2010,7
0,21,123,2011,1
1,21,123,2011,3
0,21,125,2010,8
1,21,125,2010,213
0,21,125,2011,5
1,21,125,2011,318
2,21,125,2011,2
0,21,125,2012,11
1,21,125,2012,164
2,21,125,2012,5
0,21,125,2013,12
1,21,125,2013,222
2,21,125,2013,1
0,21,125,2014,22
1,21,125,2014,232
2,21,125,2014,4
0,21,125,2015,7
1,21,125,2015,92
2,21,125,2015,7
0,21,125,2016,3
1,21,125,2016,93
2,21,125,2016,5
0,21,127,2010,1
1,21,127,2010,65
0,21,127,2011,1
1,21,127,2011,21
0,21,127,2013,2
1,21,127,2013,28
2,21,127,2013,6
0,21,129,2010,6
1,21,129,2010,25
0,21,129,2011,11
1,21,129,2011,89
0,21,129,2012,6
1,21,129,2012,57
2,21,129,2012,2
0,21,129,2013,5
1,21,129,2013,40
2,21,129,2013,4
0,21,129,2014,2
1,21,129,2014,20
0,21,129,2015,3
1,21,129,2015,16
0,21,131,2010,9
1,21,131,2010,47
0,21,131,2011,3
1,21,131,2011,33
0,21,131,2012,4
1,21,131,2012,48
0,21,131,2013,2
1,21,131,2013,38
0,21,131,2014,7
1,21,131,2014,19
0,21,131,2015,2
1,21,131,2015,8
0,21,131,2016,3
1,21,131,2016,13
0,21,133,2010,11
1,21,133,2010,151
0,21,133,2011,6
1,21,133,2011,140
0,21,133,2012,2
1,21,133,2012,51
0,21,133,2013,1
1,21,133,2013,41
2,21,133,2013,1
0,21,133,2014,1
1,21,133,2014,42
0,21,133,2015,5
1,21,133,2015,38
0,21,133,2016,1
1,21,133,2016,39
2,21,133,2016,2
0,21,135,2010,1
1,21,135,2010,38
0,21,135,2011,2
1,21,135,2011,41
0,21,135,2016,2
1,21,135,2016,4
2,21,135,2016,8
0,21,137,2010,1
1,21,137,2010,12
0,21,137,2011,10
1,21,137,2011,31
2,21,137,2011,2
0,21,137,2012,1
1,21,137,2012,14
2,21,137,2012,4
0,21,137,2013,2
1,21,137,2013,22
2,21,137,2013,2
0,21,137,2014,1
1,21,137,2014,20
2,21,137,2014,5
0,21,137,2015,1
1,21,137,2015,10
2,21,137,2015,7
0,21,137,2016,1
1,21,137,2016,5
2,21,137,2016,6
0,21,139,2010,1
1,21,139,2010,4
0,21,139,2013,1
1,21,139,2013,11
0,21,139,2014,1
1,21,139,2014,5
2,21,139,2014,2
0,21,139,2015,1
1,21,139,2015,2
0,21,139,2016,1
1,21,139,2016,7
0,21,141,2010,3
1,21,141,2010,6
0,21,141,2011,2
1,21,141,2011,17
0,21,141,2012,1
1,21,141,2012,20
0,21,141,2014,3
1,21,141,2014,27
0,21,141,2015,1
1,21,141,2015,22
2,21,141,2015,1
0,21,141,2016,1
1,21,141,2016,31
2,21,141,2016,3
0,21,143,2012,3
1,21,143,2012,8
0,21,143,2013,1
1,21,143,2013,18
2,21,143,2013,1
0,21,143,2014,2
1,21,143,2014,22
0,21,145,2010,7
1,21,145,2010,44
0,21,145,2011,11
1,21,145,2011,41
2,21,145,2011,5
0,21,145,2012,6
1,21,145,2012,55
2,21,145,2012,19
0,21,145,2013,6
1,21,145,2013,54
2,21,145,2013,16
0,21,145,2014,7
1,21,145,2014,69
2,21,145,2014,11
0,21,145,2015,4
1,21,145,2015,47
2,21,145,2015,1
0,21,145,2016,4
1,21,145,2016,26
2,21,145,2016,11
0,21,147,2010,3
1,21,147,2010,57
2,21,147,2010,2
0,21,147,2013,2
1,21,147,2013,70
2,21,147,2013,2
0,21,147,2014,3
1,21,147,2014,80
0,21,151,2010,36
1,21,151,2010,242
2,21,151,2010,2
0,21,151,2011,13
1,21,151,2011,142
2,21,151,2011,3
0,21,151,2012,15
1,21,151,2012,302
2,21,151,2012,9
0,21,151,2013,13
1,21,151,2013,294
2,21,151,2013,116
0,21,151,2014,23
1,21,151,2014,233
2,21,151,2014,137
0,21,151,2015,48
1,21,151,2015,159
2,21,151,2015,176
0,21,151,2016,83
1,21,151,2016,98
2,21,151,2016,189
0,21,153,2010,1
1,21,153,2010,41
2,21,153,2010,1
0,21,153,2011,3
1,21,153,2011,56
0,21,153,2013,3
1,21,153,2013,77
0,21,153,2015,1
1,21,153,2015,27
2,21,153,2015,2
0,21,155,2010,5
1,21,155,2010,24
2,21,155,2010,1
0,21,155,2011,4
1,21,155,2011,18
2,21,155,2011,1
0,21,155,2012,1
1,21,155,2012,25
0,21,155,2013,3
1,21,155,2013,11
2,21,155,2013,3
0,21,155,2014,2
1,21,155,2014,15
2,21,155,2014,15
0,21,155,2015,3
1,21,155,2015,24
2,21,155,2015,6
0,21,155,2016,4
1,21,155,2016,30
2,21,155,2016,14
0,21,157,2011,2
1,21,157,2011,14
0,21,157,2012,4
1,21,157,2012,13
0,21,157,2013,1
1,21,157,2013,9
2,21,157,2013,1
0,21,157,2014,3
1,21,157,2014,6
2,21,157,2014,10
0,21,159,2013,1
1,21,159,2013,30
2,21,159,2013,4
0,21,159,2015,16
1,21,159,2015,85
2,21,159,2015,1
0,21,159,2016,2
1,21,159,2016,27
0,21,161,2010,3
1,21,161,2010,139
2,21,161,2010,18
0,21,161,2011,1
1,21,161,2011,81
2,21,161,2011,11
0,21,161,2012,2
1,21,161,2012,54
2,21,161,2012,37
0,21,161,2013,2
1,21,161,2013,26
2,21,161,2013,61
0,21,161,2014,4
1,21,161,2014,56
2,21,161,2014,18
0,21,161,2015,3
1,21,161,2015,29
2,21,161,2015,20
0,21,161,2016,9
1,21,161,2016,23
2,21,161,2016,28
0,21,163,2010,2
1,21,163,2010,5
0,21,163,2012,3
1,21,163,2012,53
2,21,163,2012,4
0,21,163,2013,3
1,21,163,2013,14
2,21,163,2013,16
0,21,163,2014,1
1,21,163,2014,21
2,21,163,2014,4
0,21,163,2015,1
1,21,163,2015,5
2,21,163,2015,8
0,21,163,2016,5
1,21,163,2016,7
2,21,163,2016,1
0,21,165,2010,2
1,21,165,2010,13
0,21,165,2013,1
1,21,165,2013,7
0,21,167,2010,3
1,21,167,2010,20
0,21,167,2011,2
1,21,167,2011,82
0,21,167,2012,1
1,21,167,2012,24
2,21,167,2012,3
0,21,167,2014,4
1,21,167,2014,19
2,21,167,2014,40
0,21,167,2015,4
1,21,167,2015,2
2,21,167,2015,7
0,21,167,2016,7
1,21,167,2016,16
2,21,167,2016,25
0,21,169,2010,1
1,21,169,2010,6
0,21,171,2010,1
1,21,171,2010,29
0,21,173,2010,9
1,21,173,2010,157
0,21,173,2011,7
1,21,173,2011,182
2,21,173,2011,12
0,21,173,2012,8
1,21,173,2012,197
2,21,173,2012,2
0,21,173,2013,9
1,21,173,2013,192
2,21,173,2013,39
0,21,173,2014,12
1,21,173,2014,180
2,21,173,2014,51
0,21,173,2015,4
1,21,173,2015,123
2,21,173,2015,29
0,21,173,2016,18
1,21,173,2016,46
2,21,173,2016,49
0,21,175,2010,1
1,21,175,2010,32
0,21,175,2011,2
1,21,175,2011,63
0,21,175,2012,3
1,21,175,2012,10
0,21,177,2010,3
1,21,177,2010,39
0,21,177,2011,4
1,21,177,2011,38
2,21,177,2011,3
0,21,177,2012,10
1,21,177,2012,29
0,21,177,2013,2
1,21,177,2013,86
2,21,177,2013,2
0,21,177,2014,5
1,21,177,2014,60
2,21,177,2014,3
0,21,177,2015,2
1,21,177,2015,56
2,21,177,2015,1
0,21,177,2016,1
1,21,177,2016,46
2,21,177,2016,1
0,21,179,2010,1
1,21,179,2010,20
0,21,179,2011,3
1,21,179,2011,31
0,21,179,2012,3
1,21,179,2012,54
2,21,179,2012,11
0,21,179,2013,3
1,21,179,2013,27
2,21,179,2013,10
0,21,179,2014,3
1,21,179,2014,43
2,21,179,2014,21
0,21,179,2016,8
1,21,179,2016,18
2,21,179,2016,29
0,21,181,2010,8
1,21,181,2010,33
0,21,181,2011,2
1,21,181,2011,16
0,21,181,2014,1
1,21,181,2014,16
2,21,181,2014,5
0,21,181,2015,12
1,21,181,2015,25
2,21,181,2015,3
0,21,181,2016,3
1,21,181,2016,33
2,21,181,2016,4
0,21,183,2012,3
1,21,183,2012,40
0,21,183,2013,6
1,21,183,2013,16
2,21,183,2013,3
0,21,183,2015,2
1,21,183,2015,18
0,21,183,2016,3
1,21,183,2016,37
2,21,183,2016,2
0,21,185,2010,2
1,21,185,2010,46
2,21,185,2010,3
0,21,185,2011,2
1,21,185,2011,43
2,21,185,2011,9
0,21,185,2012,1
1,21,185,2012,18
2,21,185,2012,16
0,21,185,2013,1
1,21,185,2013,26
2,21,185,2013,17
0,21,185,2014,1
1,21,185,2014,22
2,21,185,2014,15
0,21,185,2015,1
1,21,185,2015,37
2,21,185,2015,22
0,21,185,2016,8
1,21,185,2016,17
2,21,185,2016,9
0,21,187,2010,1
1,21,187,2010,13
2,21,187,2010,1
0,21,187,2014,1
1,21,187,2014,10
2,21,187,2014,13
0,21,187,2015,3
1,21,187,2015,1
2,21,187,2015,9
0,21,187,2016,5
1,21,187,2016,4
2,21,187,2016,12
0,21,189,2010,2
1,21,189,2010,8
0,21,189,2011,14
1,21,189,2011,55
0,21,189,2012,4
1,21,189,2012,7
0,21,189,2013,1
1,21,189,2013,3
0,21,191,2010,3
1,21,191,2010,32
2,21,191,2010,1
0,21,191,2011,1
1,21,191,2011,18
2,21,191,2011,19
0,21,191,2012,3
1,21,191,2012,10
2,21,191,2012,36
0,21,191,2013,5
1,21,191,2013,20
2,21,191,2013,75
0,21,191,2015,1
1,21,191,2015,4
2,21,191,2015,29
0,21,193,2010,74
1,21,193,2010,256
2,21,193,2010,1
0,21,193,2011,89
1,21,193,2011,345
0,21,193,2012,62
1,21,193,2012,290
2,21,193,2012,1
0,21,193,2013,27
1,21,193,2013,144
0,21,193,2014,17
1,21,193,2014,137
2,21,193,2014,1
0,21,193,2015,20
1,21,193,2015,182
0,21,193,2016,18
1,21,193,2016,284
2,21,193,2016,2
0,21,195,2010,9
1,21,195,2010,182
0,21,195,2011,9
1,21,195,2011,241
0,21,195,2012,5
1,21,195,2012,196
0,21,195,2013,6
1,21,195,2013,175
2,21,195,2013,39
0,21,195,2014,5
1,21,195,2014,175
2,21,195,2014,7
0,21,195,2015,2
1,21,195,2015,140
2,21,195,2015,16
0,21,195,2016,2
1,21,195,2016,120
2,21,195,2016,2
0,21,197,2010,5
1,21,197,2010,99
0,21,197,2011,4
1,21,197,2011,88
0,21,197,2012,9
1,21,197,2012,61
0,21,197,2013,8
1,21,197,2013,108
2,21,197,2013,11
0,21,197,2014,10
1,21,197,2014,116
2,21,197,2014,6
0,21,197,2015,4
1,21,197,2015,35
2,21,197,2015,1
0,21,197,2016,5
1,21,197,2016,45
2,21,197,2016,10
0,21,199,2010,16
1,21,199,2010,308
0,21,199,2012,3
1,21,199,2012,143
2,21,199,2012,19
