,YYYY,DrugCode_0,DrugCode_1,StateCode_0,StateCode_1,StateCode_2,CountyCode_0,CountyCode_1,CountyCode_2,CountyCode_3,CountyCode_4,CountyCode_5,CountyCode_6,CountyCode_7,Pred_County
110,2024,0,0,0,0,1,0,0,0,0,0,0,0,1,68.4
111,2025,0,0,0,0,1,0,0,0,0,0,0,0,1,68.4
112,2018,0,1,0,0,1,0,0,0,0,0,0,0,1,112.8
113,2019,0,1,0,0,1,0,0,0,0,0,0,0,1,113.1
114,2020,0,1,0,0,1,0,0,0,0,0,0,0,1,120.1
115,2021,0,1,0,0,1,0,0,0,0,0,0,0,1,119.8
116,2022,0,1,0,0,1,0,0,0,0,0,0,0,1,114.8
117,2023,0,1,0,0,1,0,0,0,0,0,0,0,1,109.2
118,2024,0,1,0,0,1,0,0,0,0,0,0,0,1,62.5
119,2025,0,1,0,0,1,0,0,0,0,0,0,0,1,62.5
120,2018,1,0,0,0,1,0,0,0,0,0,0,0,1,99.6
121,2019,1,0,0,0,1,0,0,0,0,0,0,0,1,110.1
122,2020,1,0,0,0,1,0,0,0,0,0,0,0,1,173.1
123,2021,1,0,0,0,1,0,0,0,0,0,0,0,1,173.1
124,2022,1,0,0,0,1,0,0,0,0,0,0,0,1,195.6
125,2023,1,0,0,0,1,0,0,0,0,0,0,0,1,200.7
126,2024,1,0,0,0,1,0,0,0,0,0,0,0,1,220.3
127,2025,1,0,0,0,1,0,0,0,0,0,0,0,1,220.3
128,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,35.4
129,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,36.8
130,2020,0,0,0,1,0,0,0,0,0,0,0,0,1,41.8
131,2021,0,0,0,1,0,0,0,0,0,0,0,0,1,41.8
132,2022,0,0,0,1,0,0,0,0,0,0,0,0,1,77
133,2023,0,0,0,1,0,0,0,0,0,0,0,0,1,77
134,2024,0,0,0,1,0,0,0,0,0,0,0,0,1,167.2
135,2025,0,0,0,1,0,0,0,0,0,0,0,0,1,167.2
136,2018,0,1,0,1,0,0,0,0,0,0,0,0,1,686.4
137,2019,0,1,0,1,0,0,0,0,0,0,0,0,1,667.7
138,2020,0,1,0,1,0,0,0,0,0,0,0,0,1,690.8
139,2021,0,1,0,1,0,0,0,0,0,0,0,0,1,690.7
140,2022,0,1,0,1,0,0,0,0,0,0,0,0,1,712
141,2023,0,1,0,1,0,0,0,0,0,0,0,0,1,697.6
142,2024,0,1,0,1,0,0,0,0,0,0,0,0,1,641.5
143,2025,0,1,0,1,0,0,0,0,0,0,0,0,1,641.5
144,2018,1,0,0,1,0,0,0,0,0,0,0,0,1,2606.7
145,2019,1,0,0,1,0,0,0,0,0,0,0,0,1,2802.9
146,2020,1,0,0,1,0,0,0,0,0,0,0,0,1,2787.4
147,2021,1,0,0,1,0,0,0,0,0,0,0,0,1,2787.4
148,2022,1,0,0,1,0,0,0,0,0,0,0,0,1,3117.5
149,2023,1,0,0,1,0,0,0,0,0,0,0,0,1,3302.1
150,2024,1,0,0,1,0,0,0,0,0,0,0,0,1,3304.2
151,2025,1,0,0,1,0,0,0,0,0,0,0,0,1,3304.2
152,2018,0,0,0,1,1,0,0,0,0,0,0,0,1,3.3
153,2020,0,0,0,1,1,0,0,0,0,0,0,0,1,4.3
154,2021,0,0,0,1,1,0,0,0,0,0,0,0,1,4.3
155,2022,0,0,0,1,1,0,0,0,0,0,0,0,1,5.2
156,2023,0,0,0,1,1,0,0,0,0,0,0,0,1,5.2
157,2024,0,0,0,1,1,0,0,0,0,0,0,0,1,8.8
158,2025,0,0,0,1,1,0,0,0,0,0,0,0,1,8.8
159,2018,0,1,0,1,1,0,0,0,0,0,0,0,1,11.6
160,2019,0,1,0,1,1,0,0,0,0,0,0,0,1,12.6
161,2020,0,1,0,1,1,0,0,0,0,0,0,0,1,15.2
162,2021,0,1,0,1,1,0,0,0,0,0,0,0,1,17.6
163,2022,0,1,0,1,1,0,0,0,0,0,0,0,1,19
164,2023,0,1,0,1,1,0,0,0,0,0,0,0,1,19
165,2024,0,1,0,1,1,0,0,0,0,0,0,0,1,15.6
166,2025,0,1,0,1,1,0,0,0,0,0,0,0,1,15.6
167,2018,1,0,0,1,1,0,0,0,0,0,0,0,1,2.3
168,2020,1,0,0,1,1,0,0,0,0,0,0,0,1,2
169,2021,1,0,0,1,1,0,0,0,0,0,0,0,1,2
170,2022,1,0,0,1,1,0,0,0,0,0,0,0,1,18.9
171,2023,1,0,0,1,1,0,0,0,0,0,0,0,1,18.9
172,2024,1,0,0,1,1,0,0,0,0,0,0,0,1,18.2
173,2025,1,0,0,1,1,0,0,0,0,0,0,0,1,18.2
174,2018,0,0,1,0,0,0,0,0,0,0,0,0,1,10.7
175,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,10.7
176,2020,0,0,1,0,0,0,0,0,0,0,0,0,1,5
177,2021,0,0,1,0,0,0,0,0,0,0,0,0,1,5
178,2022,0,0,1,0,0,0,0,0,0,0,0,0,1,6.7
179,2023,0,0,1,0,0,0,0,0,0,0,0,0,1,6.7
180,2024,0,0,1,0,0,0,0,0,0,0,0,0,1,12.4
181,2025,0,0,1,0,0,0,0,0,0,0,0,0,1,12.4
182,2018,0,1,1,0,0,0,0,0,0,0,0,0,1,44.8
183,2019,0,1,1,0,0,0,0,0,0,0,0,0,1,42
184,2020,0,1,1,0,0,0,0,0,0,0,0,0,1,26.6
185,2021,0,1,1,0,0,0,0,0,0,0,0,0,1,18.6
186,2022,0,1,1,0,0,0,0,0,0,0,0,0,1,10.6
187,2023,0,1,1,0,0,0,0,0,0,0,0,0,1,10.6
188,2024,0,1,1,0,0,0,0,0,0,0,0,0,1,9.8
189,2025,0,1,1,0,0,0,0,0,0,0,0,0,1,9.8
190,2018,1,0,1,0,0,0,0,0,0,0,0,0,1,175.8
191,2019,1,0,1,0,0,0,0,0,0,0,0,0,1,166.9
192,2020,1,0,1,0,0,0,0,0,0,0,0,0,1,181
193,2021,1,0,1,0,0,0,0,0,0,0,0,0,1,142
194,2022,1,0,1,0,0,0,0,0,0,0,0,0,1,103.1
195,2023,1,0,1,0,0,0,0,0,0,0,0,0,1,103.1
196,2024,1,0,1,0,0,0,0,0,0,0,0,0,1,109.8
197,2025,1,0,1,0,0,0,0,0,0,0,0,0,1,109.8
198,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8
199,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,3.2
200,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,4.1
201,2023,0,0,0,0,0,0,0,0,0,0,0,1,0,12.6
202,2024,0,0,0,0,0,0,0,0,0,0,0,1,0,11.7
203,2025,0,0,0,0,0,0,0,0,0,0,0,1,0,11.7
204,2018,0,1,0,0,0,0,0,0,0,0,0,1,0,19.4
205,2019,0,1,0,0,0,0,0,0,0,0,0,1,0,16.7
206,2020,0,1,0,0,0,0,0,0,0,0,0,1,0,10.1
207,2021,0,1,0,0,0,0,0,0,0,0,0,1,0,9.9
208,2022,0,1,0,0,0,0,0,0,0,0,0,1,0,18.6
209,2023,0,1,0,0,0,0,0,0,0,0,0,1,0,18.6
210,2024,0,1,0,0,0,0,0,0,0,0,0,1,0,11.4
211,2025,0,1,0,0,0,0,0,0,0,0,0,1,0,11.4
212,2020,1,0,0,0,0,0,0,0,0,0,0,1,0,25.3
213,2021,1,0,0,0,0,0,0,0,0,0,0,1,0,26.3
214,2022,1,0,0,0,0,0,0,0,0,0,0,1,0,17.1
215,2023,1,0,0,0,0,0,0,0,0,0,0,1,0,16.5
216,2024,1,0,0,0,0,0,0,0,0,0,0,1,0,14
217,2025,1,0,0,0,0,0,0,0,0,0,0,1,0,14
218,2018,0,0,0,0,1,0,0,0,0,0,0,1,0,4.8
219,2019,0,0,0,0,1,0,0,0,0,0,0,1,0,4.8
220,2020,0,0,0,0,1,0,0,0,0,0,0,1,0,6.2
221,2021,0,0,0,0,1,0,0,0,0,0,0,1,0,6.2
222,2022,0,0,0,0,1,0,0,0,0,0,0,1,0,15.4
223,2023,0,0,0,0,1,0,0,0,0,0,0,1,0,15.4
224,2024,0,0,0,0,1,0,0,0,0,0,0,1,0,16.9
225,2025,0,0,0,0,1,0,0,0,0,0,0,1,0,16.9
226,2018,0,1,0,0,1,0,0,0,0,0,0,1,0,55.8
227,2019,0,1,0,0,1,0,0,0,0,0,0,1,0,54.6
228,2020,0,1,0,0,1,0,0,0,0,0,0,1,0,69.9
229,2021,0,1,0,0,1,0,0,0,0,0,0,1,0,69.9
230,2022,0,1,0,0,1,0,0,0,0,0,0,1,0,79.1
231,2023,0,1,0,0,1,0,0,0,0,0,0,1,0,79.1
232,2024,0,1,0,0,1,0,0,0,0,0,0,1,0,78.4
233,2025,0,1,0,0,1,0,0,0,0,0,0,1,0,78.4
234,2018,1,0,0,0,1,0,0,0,0,0,0,1,0,76
235,2019,1,0,0,0,1,0,0,0,0,0,0,1,0,76
236,2020,1,0,0,0,1,0,0,0,0,0,0,1,0,104.8
237,2021,1,0,0,0,1,0,0,0,0,0,0,1,0,107.8
238,2022,1,0,0,0,1,0,0,0,0,0,0,1,0,118.1
239,2023,1,0,0,0,1,0,0,0,0,0,0,1,0,128.4
240,2024,1,0,0,0,1,0,0,0,0,0,0,1,0,182.9
241,2025,1,0,0,0,1,0,0,0,0,0,0,1,0,182.9
242,2018,0,0,0,1,0,0,0,0,0,0,0,1,0,1.8
243,2019,0,0,0,1,0,0,0,0,0,0,0,1,0,1.8
244,2020,0,0,0,1,0,0,0,0,0,0,0,1,0,2.8
245,2021,0,0,0,1,0,0,0,0,0,0,0,1,0,2.8
246,2022,0,0,0,1,0,0,0,0,0,0,0,1,0,6.1
247,2023,0,0,0,1,0,0,0,0,0,0,0,1,0,6.1
248,2024,0,0,0,1,0,0,0,0,0,0,0,1,0,9.6
249,2025,0,0,0,1,0,0,0,0,0,0,0,1,0,9.6
250,2018,0,1,0,1,0,0,0,0,0,0,0,1,0,27.9
251,2019,0,1,0,1,0,0,0,0,0,0,0,1,0,25.8
252,2020,0,1,0,1,0,0,0,0,0,0,0,1,0,22.1
253,2021,0,1,0,1,0,0,0,0,0,0,0,1,0,22.1
254,2022,0,1,0,1,0,0,0,0,0,0,0,1,0,23.1
255,2023,0,1,0,1,0,0,0,0,0,0,0,1,0,24.3
256,2024,0,1,0,1,0,0,0,0,0,0,0,1,0,18.8
257,2025,0,1,0,1,0,0,0,0,0,0,0,1,0,18.8
258,2018,1,0,0,1,0,0,0,0,0,0,0,1,0,72.3
259,2019,1,0,0,1,0,0,0,0,0,0,0,1,0,75.1
260,2020,1,0,0,1,0,0,0,0,0,0,0,1,0,72.7
261,2021,1,0,0,1,0,0,0,0,0,0,0,1,0,108.5
262,2022,1,0,0,1,0,0,0,0,0,0,0,1,0,147.6
263,2023,1,0,0,1,0,0,0,0,0,0,0,1,0,153.2
264,2024,1,0,0,1,0,0,0,0,0,0,0,1,0,122.6
265,2025,1,0,0,1,0,0,0,0,0,0,0,1,0,122.6
266,2018,0,0,0,1,1,0,0,0,0,0,0,1,0,3.4
267,2019,0,0,0,1,1,0,0,0,0,0,0,1,0,3.4
268,2021,0,0,0,1,1,0,0,0,0,0,0,1,0,4.1
269,2022,0,0,0,1,1,0,0,0,0,0,0,1,0,5
270,2023,0,0,0,1,1,0,0,0,0,0,0,1,0,5
271,2024,0,0,0,1,1,0,0,0,0,0,0,1,0,7.5
272,2025,0,0,0,1,1,0,0,0,0,0,0,1,0,7.5
273,2018,0,1,0,1,1,0,0,0,0,0,0,1,0,34
274,2019,0,1,0,1,1,0,0,0,0,0,0,1,0,31.9
275,2020,0,1,0,1,1,0,0,0,0,0,0,1,0,21.3
276,2021,0,1,0,1,1,0,0,0,0,0,0,1,0,22.1
277,2022,0,1,0,1,1,0,0,0,0,0,0,1,0,38.2
278,2023,0,1,0,1,1,0,0,0,0,0,0,1,0,41.2
279,2024,0,1,0,1,1,0,0,0,0,0,0,1,0,40.7
280,2025,0,1,0,1,1,0,0,0,0,0,0,1,0,40.7
281,2019,1,0,0,1,1,0,0,0,0,0,0,1,0,11.9
282,2021,1,0,0,1,1,0,0,0,0,0,0,1,0,11.6
283,2022,1,0,0,1,1,0,0,0,0,0,0,1,0,16.2
284,2023,1,0,0,1,1,0,0,0,0,0,0,1,0,16.2
285,2024,1,0,0,1,1,0,0,0,0,0,0,1,0,21.6
286,2025,1,0,0,1,1,0,0,0,0,0,0,1,0,21.6
287,2018,0,0,1,0,0,0,0,0,0,0,0,1,0,3.6
288,2018,0,1,1,0,0,0,0,0,0,0,0,1,0,26.8
289,2019,0,1,1,0,0,0,0,0,0,0,0,1,0,22.7
290,2020,0,1,1,0,0,0,0,0,0,0,0,1,0,27.7
291,2021,0,1,1,0,0,0,0,0,0,0,0,1,0,27.1
292,2022,0,1,1,0,0,0,0,0,0,0,0,1,0,13
293,2023,0,1,1,0,0,0,0,0,0,0,0,1,0,13
294,2024,0,1,1,0,0,0,0,0,0,0,0,1,0,8.8
295,2025,0,1,1,0,0,0,0,0,0,0,0,1,0,8.8
296,2022,1,0,1,0,0,0,0,0,0,0,0,1,0,4.5
297,2023,1,0,1,0,0,0,0,0,0,0,0,1,0,4.5
298,2024,1,0,1,0,0,0,0,0,0,0,0,1,0,3.8
299,2025,1,0,1,0,0,0,0,0,0,0,0,1,0,3.8
300,2024,0,0,0,0,0,0,0,0,0,0,0,1,1,36.9
301,2018,0,1,0,0,0,0,0,0,0,0,0,1,1,1.5
302,2019,0,1,0,0,0,0,0,0,0,0,0,1,1,1.7
303,2020,0,1,0,0,0,0,0,0,0,0,0,1,1,3.8
304,2021,0,1,0,0,0,0,0,0,0,0,0,1,1,3.8
305,2023,1,0,0,0,0,0,0,0,0,0,0,1,1,20.4
306,2025,1,0,0,0,0,0,0,0,0,0,0,1,1,18.8
307,2018,0,0,0,0,1,0,0,0,0,0,0,1,1,3.6
308,2019,0,0,0,0,1,0,0,0,0,0,0,1,1,3.5
309,2020,0,0,0,0,1,0,0,0,0,0,0,1,1,6.1
310,2021,0,0,0,0,1,0,0,0,0,0,0,1,1,6.1
311,2022,0,0,0,0,1,0,0,0,0,0,0,1,1,13.5
312,2023,0,0,0,0,1,0,0,0,0,0,0,1,1,13.5
313,2024,0,0,0,0,1,0,0,0,0,0,0,1,1,30.4
314,2025,0,0,0,0,1,0,0,0,0,0,0,1,1,30.4
315,2018,0,1,0,0,1,0,0,0,0,0,0,1,1,76.7
316,2019,0,1,0,0,1,0,0,0,0,0,0,1,1,75.7
317,2020,0,1,0,0,1,0,0,0,0,0,0,1,1,76.9
318,2021,0,1,0,0,1,0,0,0,0,0,0,1,1,76.9
319,2022,0,1,0,0,1,0,0,0,0,0,0,1,1,103.3
320,2023,0,1,0,0,1,0,0,0,0,0,0,1,1,103.3
321,2024,0,1,0,0,1,0,0,0,0,0,0,1,1,92.6
322,2025,0,1,0,0,1,0,0,0,0,0,0,1,1,92.6
323,2018,1,0,0,0,1,0,0,0,0,0,0,1,1,152.2
324,2019,1,0,0,0,1,0,0,0,0,0,0,1,1,152.2
325,2020,1,0,0,0,1,0,0,0,0,0,0,1,1,190.6
326,2021,1,0,0,0,1,0,0,0,0,0,0,1,1,190.6
327,2022,1,0,0,0,1,0,0,0,0,0,0,1,1,244.8
328,2023,1,0,0,0,1,0,0,0,0,0,0,1,1,257.2
329,2024,1,0,0,0,1,0,0,0,0,0,0,1,1,271.6
330,2025,1,0,0,0,1,0,0,0,0,0,0,1,1,271.6
331,2018,0,0,0,1,0,0,0,0,0,0,0,1,1,7.9
332,2019,0,0,0,1,0,0,0,0,0,0,0,1,1,7.9
333,2020,0,0,0,1,0,0,0,0,0,0,0,1,1,7.5
334,2021,0,0,0,1,0,0,0,0,0,0,0,1,1,7.3
335,2022,0,0,0,1,0,0,0,0,0,0,0,1,1,24.7
336,2023,0,0,0,1,0,0,0,0,0,0,0,1,1,24.7
337,2024,0,0,0,1,0,0,0,0,0,0,0,1,1,99.7
338,2025,0,0,0,1,0,0,0,0,0,0,0,1,1,99.7
339,2018,0,1,0,1,0,0,0,0,0,0,0,1,1,36.4
340,2019,0,1,0,1,0,0,0,0,0,0,0,1,1,31.9
341,2020,0,1,0,1,0,0,0,0,0,0,0,1,1,22.3
342,2021,0,1,0,1,0,0,0,0,0,0,0,1,1,22.3
343,2022,0,1,0,1,0,0,0,0,0,0,0,1,1,37.8
344,2023,0,1,0,1,0,0,0,0,0,0,0,1,1,37.8
345,2024,0,1,0,1,0,0,0,0,0,0,0,1,1,35.2
346,2025,0,1,0,1,0,0,0,0,0,0,0,1,1,35.2
347,2018,1,0,0,1,0,0,0,0,0,0,0,1,1,103.6
348,2019,1,0,0,1,0,0,0,0,0,0,0,1,1,115
349,2020,1,0,0,1,0,0,0,0,0,0,0,1,1,137.5
350,2021,1,0,0,1,0,0,0,0,0,0,0,1,1,145.9
351,2022,1,0,0,1,0,0,0,0,0,0,0,1,1,143.1
352,2023,1,0,0,1,0,0,0,0,0,0,0,1,1,144.1
353,2024,1,0,0,1,0,0,0,0,0,0,0,1,1,167.8
354,2025,1,0,0,1,0,0,0,0,0,0,0,1,1,167.8
355,2018,0,0,0,1,1,0,0,0,0,0,0,1,1,3.3
356,2021,0,0,0,1,1,0,0,0,0,0,0,1,1,4.7
357,2022,0,0,0,1,1,0,0,0,0,0,0,1,1,2.7
358,2025,0,0,0,1,1,0,0,0,0,0,0,1,1,8
359,2018,0,1,0,1,1,0,0,0,0,0,0,1,1,21
360,2019,0,1,0,1,1,0,0,0,0,0,0,1,1,22.7
361,2020,0,1,0,1,1,0,0,0,0,0,0,1,1,25.4
362,2021,0,1,0,1,1,0,0,0,0,0,0,1,1,24.4
363,2022,0,1,0,1,1,0,0,0,0,0,0,1,1,12.8
364,2023,0,1,0,1,1,0,0,0,0,0,0,1,1,10.4
365,2024,0,1,0,1,1,0,0,0,0,0,0,1,1,8
366,2025,0,1,0,1,1,0,0,0,0,0,0,1,1,8
367,2018,1,0,0,1,1,0,0,0,0,0,0,1,1,8.8
368,2019,1,0,0,1,1,0,0,0,0,0,0,1,1,8.7
369,2021,1,0,0,1,1,0,0,0,0,0,0,1,1,20
370,2025,1,0,0,1,1,0,0,0,0,0,0,1,1,35.5
371,2019,0,0,1,0,0,0,0,0,0,0,0,1,1,2.3
372,2022,0,0,1,0,0,0,0,0,0,0,0,1,1,3.3
373,2024,0,0,1,0,0,0,0,0,0,0,0,1,1,8.6
374,2018,0,1,1,0,0,0,0,0,0,0,0,1,1,37.7
375,2019,0,1,1,0,0,0,0,0,0,0,0,1,1,36.4
376,2020,0,1,1,0,0,0,0,0,0,0,0,1,1,34
377,2021,0,1,1,0,0,0,0,0,0,0,0,1,1,34
378,2022,0,1,1,0,0,0,0,0,0,0,0,1,1,19.3
379,2023,0,1,1,0,0,0,0,0,0,0,0,1,1,19.3
380,2024,0,1,1,0,0,0,0,0,0,0,0,1,1,3.8
381,2025,0,1,1,0,0,0,0,0,0,0,0,1,1,3.8
382,2021,1,0,1,0,0,0,0,0,0,0,0,1,1,30.4
383,2022,1,0,1,0,0,0,0,0,0,0,0,1,1,4.8
384,2024,1,0,1,0,0,0,0,0,0,0,0,1,1,27.2
385,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,4
386,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,2.8
387,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6
388,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6
389,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,4.1
390,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,4.1
391,2025,0,0,0,0,0,0,0,0,0,0,1,0,0,5
392,2018,0,1,0,0,0,0,0,0,0,0,1,0,0,78.8
393,2019,0,1,0,0,0,0,0,0,0,0,1,0,0,78.8
394,2020,0,1,0,0,0,0,0,0,0,0,1,0,0,58.1
395,2021,0,1,0,0,0,0,0,0,0,0,1,0,0,55.8
396,2022,0,1,0,0,0,0,0,0,0,0,1,0,0,46
